 	che	non	li	aspetiamo	</S>
n	0.99453086	0.0049887015	0.00047965054	6.4421926e-07	2.0825094e-07
a	0.9709584	0.014378081	0.014641068	9.547129e-06	1.2838749e-05
m	0.1664885	0.57645786	0.1300554	0.051853914	0.07514429
i	0.3433261	0.03588043	0.6207661	1.7523525e-05	9.83836e-06
t	0.05075546	0.1268973	0.8155535	0.0030031276	0.003790615
u	0.2402559	0.009777592	0.7498577	6.511267e-05	4.375541e-05
s	0.008857276	0.043265462	0.90726495	0.027109275	0.013503106
m	0.0681389	0.004116204	0.92767	4.5178476e-05	2.9584326e-05
ì	0.072869524	0.011375959	0.9156118	0.000127083	1.5709704e-05
n	0.0062895003	0.015851082	0.81515384	0.07383003	0.08887557
o	0.025120594	0.08073999	0.81309325	0.024988275	0.056057863
m	3.2171596e-05	0.0004267704	0.022437463	0.8969548	0.08014891
e	0.02312877	0.022488005	0.95328426	0.0009948068	0.00010411411
</S>	7.2624585e-05	0.00023894943	0.021651188	0.85266465	0.12537256
