 	avete	cucinato	le	verdure	</S>
è	0.841618	0.14358182	0.0131375585	0.0016601958	2.374473e-06
c	0.690702	0.1821215	0.041312326	0.0074490774	0.07841513
h	0.09480637	0.86433107	0.034649324	0.0053163683	0.0008967898
e	0.14433864	0.5387806	0.16271426	0.15102227	0.0031441934
t	0.7270924	0.25459614	0.011917588	0.0057183667	0.0006754887
e	0.12276943	0.7700382	0.04430355	0.06285992	2.8882128e-05
m	0.48385957	0.48705405	0.02151525	0.0066628316	0.0009083591
a	0.0029955588	0.56431377	0.082645975	0.35001767	2.703548e-05
r	0.016176322	0.8718212	0.10787903	0.0037931865	0.0003302293
à	0.00067734934	0.038191777	0.11495595	0.8461544	2.0487912e-05
t	0.06522407	0.23162352	0.64966214	0.04025157	0.0132386265
a	0.01780029	0.1344778	0.47580588	0.3469765	0.024939528
t	0.0017821861	0.0049295453	0.95323443	0.031249631	0.008804134
a	0.0005999267	0.0035751094	0.26443845	0.7312864	0.000100139034
l	0.001370404	0.0019104595	0.7465727	0.24508736	0.0050591105
à	0.00013606856	0.0011642296	0.015542957	0.9830466	0.000110194094
c	0.036244214	0.062107567	0.4238146	0.376276	0.101557724
h	0.025033977	0.024500636	0.65513384	0.29329842	0.0020331363
a	0.004044057	0.012763768	0.026064755	0.95677793	0.00034942268
n	0.00015052853	0.0010681251	0.010222688	0.9279281	0.06063068
a	0.0032624109	0.018174414	0.03101935	0.94726646	0.00027736335
</S>	0.00031683184	0.00080006546	0.012280008	0.13077033	0.8558328
