 	era	molto	stanco	</S>
ì	0.9799651	0.018796649	0.0012357588	2.614284e-06
o	0.8866527	0.06448006	0.01647582	0.03239146
n	0.061072383	0.8218528	0.11435542	0.002719358
e	0.27891818	0.6631958	0.057871204	1.4884673e-05
p	0.1731256	0.6948694	0.12743792	0.0045671016
o	0.0041030347	0.8181959	0.1776859	1.5145957e-05
d	0.006662633	0.7513258	0.23631753	0.0056940494
d	0.0014862457	0.5216803	0.4768007	3.2754968e-05
h	0.0071427054	0.41414413	0.5779757	0.00073743
ì	0.00088160875	0.37281513	0.62627524	2.8030241e-05
s	0.007166505	0.28233635	0.69096774	0.019529339
t	0.0027498126	0.2720292	0.7225128	0.0027082162
r	0.009883117	0.07891558	0.9099129	0.0012883653
à	0.0032053264	0.03501824	0.9611336	0.0006427818
k	0.00024675138	0.052537594	0.91968906	0.027526595
k	0.0015918359	0.0342243	0.92961544	0.034568332
o	0.024692258	0.07552509	0.8915549	0.008227746
</S>	0.00090109836	0.01709707	0.12806037	0.8539414
