 	non	sapeva	dove	a	stare	</S>
e	0.9527911	0.046455238	0.0006282947	1.8870092e-05	0.000106363404	2.8324203e-07
n	0.9375606	0.053607967	0.0063914647	0.000694528	0.0002618338	0.001483548
ì	0.0077141835	0.92752516	0.054559965	0.0006909778	0.009496286	1.3507017e-05
s	0.011362752	0.93439025	0.03632734	0.0029581275	0.00074069435	0.014220844
s	0.008713147	0.9657824	0.023224588	0.0011937637	0.00025452592	0.00083144434
e	0.014013054	0.78019613	0.18076009	0.0035875007	0.02132487	0.00011841896
r	0.026512185	0.024122905	0.8965551	0.017433802	0.03001259	0.005363453
e	0.029655164	0.021602036	0.83909816	0.014978798	0.09464112	2.472356e-05
p	0.017844455	0.0043347185	0.69644845	0.16284646	0.101410516	0.01711535
u	0.015215767	0.017684616	0.67222214	0.025923774	0.2689218	3.1972428e-05
n	0.012848424	0.0022531252	0.20339826	0.36751878	0.3908335	0.023147877
a	0.004748361	0.016940149	0.25497186	0.042741165	0.68054646	5.2024374e-05
s	0.0015107716	0.00010170601	0.016007561	0.08058414	0.8863363	0.015459416
t	0.00170404	0.0031641999	0.05209876	0.020365737	0.9225695	9.780678e-05
a	0.003583657	0.01067237	0.07615646	0.023552403	0.88598055	5.457867e-05
s	0.00012525448	1.0470179e-05	0.0019490698	0.004297193	0.98101807	0.012599939
ì	0.00062301714	0.0019137516	0.022117987	0.007901709	0.9673006	0.00014285662
</S>	0.001325585	0.0019075411	0.008967428	0.056604885	0.31461477	0.61657983
