 	e	che	cucino	</S>
c	0.99225336	0.0077252374	2.0406338e-05	1.0005698e-06
e	0.986623	0.013358304	1.6586899e-05	2.0831662e-06
p	0.92715365	0.060977183	0.008677678	0.0031915496
u	0.28613827	0.7132173	0.00053476397	0.00010968265
m	0.060058407	0.5244793	0.31296894	0.10249332
a	0.10034662	0.8995001	0.00012241752	3.0846913e-05
r	0.0052432003	0.43150458	0.4969515	0.06630075
è	0.054196097	0.92873114	0.014310554	0.0027621337
o	0.19542347	0.3891374	0.21822505	0.19721416
</S>	0.00025200812	0.04352662	0.91190743	0.044313964
