 	sto	e	cucino	</S>
e	0.9872591	0.012723808	1.5881531e-05	1.3344522e-06
s	0.9166483	0.020155933	0.034709275	0.02848645
t	0.17835012	0.82148004	9.8053184e-05	7.184994e-05
è	0.9259819	0.07377359	0.00020567878	3.8844242e-05
c	0.14115813	0.72405314	0.031545933	0.10324287
e	0.10080192	0.89796233	0.00047842655	0.0007573498
m	0.008477646	0.6072624	0.337801	0.046458937
a	0.029026145	0.9706477	0.00031125243	1.4963002e-05
r	0.00051811745	0.0391465	0.80989224	0.1504431
è	0.07809505	0.9091766	0.011868226	0.0008601674
o	0.1514354	0.30558747	0.39021218	0.15276487
</S>	3.0171987e-05	0.00025672442	0.9633854	0.036327697
