 	deve	essere	bianco	</S>
è	0.95685774	0.042915422	0.00022614318	6.2979416e-07
n	0.5743038	0.3571721	0.020118713	0.04840543
a	0.40855408	0.5220879	0.0686833	0.0006747802
è	0.020408364	0.95830774	0.018333394	0.0029505105
n	0.017537963	0.7574748	0.19401859	0.030968701
e	0.0339356	0.6728262	0.2924814	0.0007567649
à	0.0006969409	0.114718735	0.8312009	0.05338347
s	0.0059951395	0.053196605	0.900578	0.04023019
p	0.0033735388	0.0087176515	0.98467064	0.0032381557
r	0.016239366	0.060678404	0.9228396	0.0002427093
o	0.15446436	0.52089435	0.32397863	0.000662699
</S>	0.0003965893	0.0015777875	0.06008838	0.93793726
