 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.97287965	0.014954114	0.008073897	0.0025495158	0.00023909348	0.0008903281	0.00023193656	8.239596e-05	8.634529e-05	9.685244e-06	2.9819523e-06
a	0.9896298	0.0008302972	0.0040588537	0.0016127953	0.00039909242	0.0012300664	0.0016026973	0.00012410879	0.0004813354	2.4916577e-05	5.931054e-06
p	0.9735396	0.02023422	0.0032104203	0.0018575826	0.0001924282	0.00044217813	0.00013989679	4.142553e-05	0.00012638104	9.7432e-06	0.00020620643
e	0.82014084	0.00066544936	0.04837214	0.0105914185	0.0052067824	0.030476142	0.05998422	0.0063622887	0.010387731	0.0075958986	0.00021717034
d	0.9207383	0.0411653	0.020795334	0.008375581	0.0012725851	0.003207706	0.0018652739	0.00042645168	0.00104014	7.566855e-05	0.0010376518
ì	0.68878996	0.0057759434	0.11519158	0.02117121	0.009932148	0.04562975	0.066891566	0.013009253	0.024170464	0.008446355	0.0009918266
a	0.4826468	0.2293553	0.03971546	0.06631892	0.0070696576	0.046954088	0.034532543	0.009165709	0.0232966	0.0046809246	0.056263957
m	0.085579924	0.19514771	0.2871317	0.19807978	0.04740526	0.09968776	0.031526443	0.015501015	0.022262754	0.0011089259	0.016568767
i	0.16450791	0.0028581065	0.42472792	0.11196041	0.038752493	0.09693987	0.08380778	0.020385945	0.033312757	0.022245407	0.0005014151
n	0.0077384496	0.10983031	0.78897864	0.06844385	0.014962263	0.0031570222	0.0045082755	0.0006102918	0.001074283	0.00022300404	0.00047366758
c	0.047493484	0.004576562	0.8369255	0.07244503	0.00704483	0.010788869	0.014707239	0.0012355498	0.0028696342	0.0016580363	0.00025537406
i	0.050208464	0.001439521	0.7575929	0.09903094	0.024265038	0.037957646	0.021477077	0.001570692	0.006041468	0.00041454763	1.7052683e-06
à	0.009332439	0.0072473637	0.23817179	0.26678962	0.11585994	0.05467583	0.2570475	0.020867523	0.0064309444	0.022744285	0.00083281036
è	0.024285	0.020901356	0.20071024	0.503458	0.030276377	0.11678067	0.06065372	0.00889072	0.01621542	0.0013441817	0.016484277
r	0.018700711	0.035198595	0.08934186	0.34559032	0.061874982	0.27300906	0.06969821	0.01581709	0.026896734	0.001805791	0.062066585
k	0.010987086	0.00031113022	0.059021764	0.5185702	0.107791245	0.21536025	0.05399767	0.008693266	0.0160362	0.007105835	0.002125362
u	0.0056719934	0.00029983761	0.0073333387	0.08323019	0.13448687	0.13657673	0.22297823	0.022785874	0.30610165	0.08005406	0.00048123972
t	3.3333334e-05	0.008639432	0.0025430652	0.064654455	0.8740871	0.027956238	0.015216643	0.0025824958	0.0014216723	0.0015554248	0.0013101288
t	0.007459829	0.0013787971	0.01650367	0.10550131	0.30105245	0.3098905	0.19831403	0.008973078	0.03312864	0.0177194	7.832759e-05
e	0.007948501	0.0006870072	0.01022293	0.028537197	0.2781459	0.19198923	0.22547251	0.019325003	0.18878032	0.0487406	0.00015078325
