 	ho	cosa	a	fare	</S>
è	0.12691745	0.85690325	0.015987791	0.0001295258	6.193729e-05
c	0.5578988	0.32559645	0.044541355	0.038683977	0.033279404
h	0.032372836	0.96494097	0.0024645552	1.3553651e-05	0.0002080487
o	0.056822773	0.8876239	0.054416716	0.0009714515	0.00016519637
t	0.23194024	0.7270421	0.03913735	0.0012685498	0.00061167957
i	0.09099138	0.3925985	0.5161417	0.0002656929	2.714958e-06
k	0.035681076	0.06579326	0.6742443	0.19763435	0.026647072
à	0.046159502	0.02124837	0.9260921	0.0064635924	3.640385e-05
i	0.010084154	0.009354961	0.046646867	0.13642189	0.79749215
</S>	0.0021788415	0.0010151932	0.021167139	0.7630822	0.21255656
