 	non	aveva	cosa	a	fare	</S>
e	0.9640021	0.035262235	0.0006430134	8.811523e-05	2.877698e-06	1.6964435e-06
n	0.9592003	0.03318037	0.0045445645	0.0008385396	0.0017316386	0.00050460163
ì	0.00681892	0.9325952	0.056077566	0.0044894596	1.17268e-05	7.0830083e-06
c	0.008105137	0.86382073	0.08883538	0.017920455	0.0027619875	0.018556332
h	0.013133069	0.9777924	0.0086622555	9.203984e-05	2.8801605e-06	0.00031727122
e	0.010156477	0.942392	0.04609243	0.0013113434	7.81732e-06	3.9856717e-05
t	0.0026062503	0.028697627	0.75415975	0.20516264	0.006498827	0.0028749015
i	0.015557764	0.05377607	0.39659724	0.5339874	7.712993e-05	4.3613604e-06
k	0.007793894	0.003983103	0.06285325	0.5526	0.2897041	0.08306557
à	0.006128172	0.021163182	0.097786196	0.8739768	0.00092334516	2.2275111e-05
m	0.00692532	0.036632966	0.08740481	0.12620859	0.06652165	0.6763067
i	0.23340596	0.08353453	0.43439656	0.23457436	0.0043440256	0.0097445585
</S>	0.0003047131	0.001360736	0.008762085	0.033652164	0.2726304	0.6832899
