 	sto	ancora	cucinando	</S>
s	0.9964233	0.003485597	9.035632e-05	6.588166e-07
t	0.96671593	0.03243039	0.00081775436	3.5905912e-05
e	0.9598013	0.039368704	0.0008202818	9.749442e-06
a	0.3474928	0.60286456	0.033878695	0.015763868
n	0.04088193	0.92857057	0.020837141	0.009710343
k	0.105556615	0.8924863	0.0018630844	9.406749e-05
ò	0.645412	0.35313892	0.0013810423	6.792398e-05
r	0.05136905	0.10248044	0.066742845	0.7794077
a	0.06798268	0.9061064	0.019630725	0.006280181
m	0.00063241785	0.13668177	0.74338174	0.11930409
a	0.08561231	0.87038374	0.043893024	0.00011096655
r	0.00011129741	0.022360345	0.91015553	0.06737278
è	0.11816527	0.81787217	0.062897906	0.0010646833
o	0.00538567	0.1828517	0.72934234	0.0824203
n	6.885231e-05	0.0014275913	0.96144736	0.037056264
t	0.4843512	0.4288933	0.0767941	0.009961422
a	0.23080942	0.50051016	0.26725253	0.0014278896
</S>	0.00021952503	0.0028110216	0.5958418	0.40112758
