 	l	ho	sentito	che	viene	</S>
o	0.9997229	0.00015385066	1.80609e-05	0.0001043807	4.4826197e-07	2.3173918e-07
n	0.9743817	0.004987226	0.0032567924	0.005844785	0.009081976	0.002447462
ì	0.8621323	0.05412905	0.0035999082	0.07996277	6.581307e-05	0.000110254194
k	0.13163044	0.3645493	0.11094189	0.029741859	0.08626202	0.27687448
u	0.8767051	0.1059759	0.0017695334	0.0031143015	0.0010387417	0.011396476
s	0.018759115	0.6522135	0.20556962	0.09910627	0.013445345	0.010906173
a	0.039621137	0.1689882	0.058705427	0.73259383	7.360069e-05	1.7829178e-05
n	0.005712146	0.011786506	0.09677537	0.82159966	0.05910879	0.005017622
a	0.005410192	0.01340914	0.032007545	0.9488458	0.0002737946	5.3485535e-05
r	0.00044193084	0.0012708124	0.008973743	0.20820144	0.7690832	0.012028912
t	0.017014097	0.0046671918	0.0073028645	0.96948314	0.0009178859	0.00061482296
i	0.033188682	0.016060818	0.014799123	0.9226023	0.009423245	0.0039258413
</S>	0.00067138515	0.0028086388	0.02007238	0.23791109	0.6655067	0.07302981
