 	Marika	è	che	si	sposa	domani	</S>
M	0.994551	0.0038708816	0.0006092467	0.00016841706	0.0007591589	4.1121504e-05	9.6291565e-08
a	0.8319557	0.055106632	0.052260462	0.00084609515	0.034681253	0.025148125	1.7742816e-06
r	0.74630815	0.09483435	0.038073964	0.001960635	0.104952686	0.009090901	0.004779315
ì	0.07410091	0.26949665	0.6455229	0.0031993785	0.00525281	0.0024238962	3.4145744e-06
k	0.29345068	0.3019991	0.098421514	0.005115773	0.19690809	0.093446314	0.01065857
a	0.34497958	0.31785616	0.076472275	0.0065303	0.058549654	0.19195503	0.0036570018
è	0.0026505159	0.7586484	0.13438742	0.01554363	0.042294115	0.045067947	0.0014078986
n	0.004797014	0.3230106	0.05209623	0.017807132	0.2927131	0.30356702	0.006008883
a	0.008583884	0.17716481	0.62446046	0.03105195	0.031729143	0.12591533	0.001094419
r	0.0004030951	0.16495343	0.3779525	0.3252684	0.06654864	0.06378846	0.0010855754
m	0.0057217916	0.010060654	0.95539933	0.026850473	0.0010847055	0.00087621255	6.7846004e-06
a	0.005447789	0.030918563	0.93337446	0.017426591	0.0059359786	0.006891953	4.5104803e-06
s	4.6894784e-05	0.008795884	0.6107543	0.34680232	0.025422491	0.0076911626	0.00048689745
t	0.009382888	0.021246824	0.9133902	0.051016137	0.0033760585	0.0015807009	7.200543e-06
ì	0.024808407	0.04347323	0.87305987	0.04480653	0.007688907	0.0061580166	5.0839885e-06
à	0.00048336387	0.032735918	0.007844454	0.051051628	0.38380247	0.5056228	0.018459368
v	0.00076215266	0.05143914	0.0060544563	0.031881735	0.09755477	0.7799838	0.0323239
v	0.0040885154	0.020617241	0.2841311	0.12556657	0.15050726	0.41462997	0.00045930492
r	0.028258452	0.06758639	0.6031802	0.17131734	0.04363506	0.08587833	0.00014415878
i	0.07319875	0.047142416	0.5998581	0.26725373	0.006036525	0.006396921	0.000113510214
</S>	0.0015853354	0.0032651476	0.04851597	0.42519426	0.08014063	0.006203031	0.43509567
