 	è	che	stanno	ancora	svegli	</S>
è	0.98002577	0.01962613	0.00030954985	1.849707e-05	1.9841355e-05	2.0763005e-07
n	0.492748	0.20042314	0.013217032	0.037994012	0.012756041	0.2428617
a	0.016370388	0.65615803	0.28786233	0.019696109	0.01927263	0.00064056914
s	0.064544074	0.83792436	0.089289434	0.0024215535	0.0005281525	0.005292535
t	0.01797115	0.9084479	0.07135996	0.0011919709	0.0010197724	9.13636e-06
a	0.025720436	0.9609129	0.012147713	0.00074407517	0.00047403993	8.7386445e-07
t	0.0060581244	0.40806207	0.58254915	0.0024762372	0.0003227724	0.00053164153
ù	0.043047726	0.6909452	0.2603141	0.0028814718	0.0027945824	1.6935599e-05
n	0.006469921	0.017542962	0.91119564	0.014604267	0.0024575465	0.04772968
e	0.004047516	0.048812006	0.873132	0.031448867	0.038925532	0.003634043
a	0.0009238896	0.005500881	0.39471936	0.5523965	0.018232426	0.028226959
n	0.0006961825	0.00066298805	0.09478407	0.87324226	0.021069568	0.009544889
k	0.0060368385	0.01948602	0.0505669	0.89499915	0.028541349	0.00036963896
ò	0.17953731	0.40822947	0.11253152	0.2749957	0.024253724	0.00045218607
r	0.0020739883	0.0014536605	0.18864891	0.041444745	0.024936477	0.7414422
a	0.008776138	0.007543241	0.15104449	0.77260804	0.04940682	0.010621177
a	0.0033699193	0.0081798	0.027925234	0.28197524	0.062450137	0.61609966
t	0.005373368	0.0069178673	0.0029198145	0.34550998	0.5348103	0.10446874
s	0.073139004	0.07197653	0.0051961117	0.074242756	0.7502544	0.02519114
ù	0.06744019	0.14374183	0.10583031	0.044115037	0.61043715	0.02843553
n	0.0007023162	0.0013800231	0.10953144	0.06516397	0.4201386	0.40308362
n	0.0034063177	0.0042362767	0.018818857	0.21730709	0.7222421	0.03398934
i	0.09307847	0.34058446	0.1668408	0.021461165	0.34364972	0.034385428
t	0.0032350435	0.010438209	0.0781261	0.060795773	0.78251415	0.064890675
i	0.04016124	0.049302027	0.010282928	0.2653844	0.61857265	0.016296737
</S>	0.0015770141	0.012202194	0.030206166	0.082881995	0.47741938	0.3957132
