 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
d	0.84272873	0.13729829	0.011036873	0.0032198501	0.0007715107	0.00062201143	0.00030059437	0.00070452614	0.00035431984	0.0010839964	0.00057267846	0.0003664712	0.00038300114	0.00016423309	0.00022458196	0.00015139821	1.6990572e-05
ò	0.7271338	0.19918679	0.04823636	0.0056259586	0.0035065648	0.00043012298	0.0023172558	0.0009862613	0.00230231	0.006158816	0.0034005565	0.0001733474	0.0003636695	4.9840328e-05	4.1778163e-05	8.2859326e-05	3.6852275e-06
p	0.9936154	0.00508955	0.00026262572	5.2129704e-05	3.9316557e-05	4.854993e-05	8.684503e-05	0.00016606	5.1038125e-05	7.449347e-05	8.865186e-05	8.128374e-05	3.7863807e-05	2.6825706e-05	3.1229105e-05	2.8694878e-05	0.0002193117
o	0.91025203	0.07260467	0.0035569097	0.0031644623	0.00024528496	0.00011921162	0.0028790014	0.00015609233	0.00089763454	0.0021712845	0.0013315218	0.00030464525	0.0017746387	0.00011155555	0.00011516346	4.0465675e-05	0.0002754102
G	0.42767215	0.441262	0.11375755	0.0017660371	0.006478067	0.0004605777	0.00064073375	0.0021413493	0.000507264	0.001634832	0.0008263872	0.0006850684	0.0003263393	9.4055744e-05	0.00013487288	9.771188e-05	0.0015149313
i	0.014236787	0.61661613	0.06999732	0.09483389	0.0056109224	0.010181057	0.04627237	0.008909996	0.051082306	0.034489866	0.033569418	0.0015295191	0.0049079224	0.0025830765	0.00093479344	0.0042235525	2.1089452e-05
o	0.32380092	0.6364497	0.02908823	0.006825689	0.0006125938	0.00017010327	0.0003715858	0.00020999784	0.00041056416	0.0013335099	0.00038960204	0.00015156319	0.00011021378	1.2947386e-05	5.85902e-06	2.362861e-05	3.3250257e-05
v	0.0038735988	0.634573	0.3338105	0.0022198835	0.018681077	0.00065207406	0.00031207586	0.0031464489	0.00021911052	0.00097244215	0.00085174164	0.00033194275	0.00016503218	3.0074172e-05	7.849617e-05	2.919432e-05	5.3276617e-05
à	0.0054318304	0.46609136	0.2990647	0.04011394	0.043828074	0.004959274	0.03595053	0.013582458	0.025110733	0.030934395	0.027935307	0.0009779239	0.0014477513	0.0011644508	0.00050287147	0.0028507274	5.3688596e-05
n	0.026688023	0.9045601	0.058744706	0.001751118	0.0017105232	0.00040909473	0.0007295563	0.001517274	0.00039098554	0.0010250722	0.0005821752	0.0005498814	0.00028995067	0.00010424417	0.00012590602	0.000102203536	0.00071928
n	0.025085276	0.93994915	0.026974628	0.001839622	0.00028431276	0.00019032598	0.0018166237	0.000120561155	0.0004928836	0.0006930478	0.0005983595	0.00032579433	0.0008776161	0.0001435003	0.00020978949	5.617474e-05	0.00034230133
i	0.031402573	0.17636503	0.17285423	0.11601099	0.04164321	0.0316029	0.08078762	0.0903038	0.03926239	0.06690992	0.11430067	0.013793361	0.006604451	0.004263219	0.004123936	0.00797695	0.0017947735
j	0.00027144921	0.049460396	0.6685093	0.1777023	0.062083524	0.011080305	0.0041950517	0.009808558	0.0027237656	0.006709875	0.0046207295	0.0016822517	0.0004439476	8.292324e-05	8.957953e-05	0.00014824173	0.0003876756
ù	0.0010361957	0.07043688	0.5615485	0.19775547	0.015156156	0.009438499	0.030984087	0.0064141676	0.02988105	0.023098258	0.020682886	0.0041533452	0.008197682	0.0077047707	0.0009905824	0.012490487	3.0944822e-05
r	0.00052337453	0.18762231	0.57860726	0.17296895	0.0154288495	0.006019872	0.0071889646	0.0119025875	0.0023655156	0.00671499	0.004861538	0.003639797	0.0011269449	0.00015617211	0.00017162443	0.0001026208	0.0005986421
i	0.014290233	0.11394596	0.60358983	0.1366417	0.026391188	0.006580824	0.047181457	0.005136302	0.012666182	0.009160754	0.010281263	0.0010781202	0.0030868477	0.0021011743	0.0023833867	0.0014652342	0.004019598
s	7.514874e-05	0.0019117221	0.16215411	0.65646994	0.12126241	0.020954812	0.006499111	0.015173125	0.0025943455	0.0065692957	0.004080634	0.0013801788	0.00032136394	6.131519e-05	6.349915e-05	0.00010315613	0.00032586252
e	0.00037592565	0.004272916	0.1623879	0.59260064	0.11682627	0.020274121	0.03656473	0.013219372	0.01614114	0.011966079	0.012021966	0.0018456901	0.0030557078	0.0032510348	0.00044340896	0.0047317077	2.1302878e-05
o	7.1295462e-06	0.0001579568	0.027205225	0.73497945	0.14141244	0.053201538	0.012380036	0.017236318	0.0034181182	0.003941625	0.00426985	0.0013065384	0.0001701617	7.093348e-05	5.6888694e-05	8.115983e-05	0.000104591425
v	2.8706784e-06	9.776796e-05	0.04747922	0.24244963	0.6484614	0.030996162	0.0049740644	0.020478344	0.00093208713	0.0014036618	0.0017994691	0.00051512657	0.00016823866	4.5907822e-05	0.00012333972	3.814762e-05	3.4573586e-05
r	0.0018018204	0.0066569485	0.031608656	0.51925075	0.16796687	0.029901825	0.12357516	0.022990238	0.039174307	0.027612029	0.023091536	0.00084135623	0.0012773687	0.0010931147	0.00029969797	0.0027896762	6.861748e-05
à	0.0019107916	0.0062799007	0.05267889	0.16035013	0.66285783	0.028672745	0.03205171	0.018495752	0.0069500897	0.00842695	0.011269539	0.0025292088	0.001626795	0.0022055376	0.0010104999	0.0025272148	0.00015645458
i	0.00022197072	0.0151143335	0.07798619	0.39936298	0.1419685	0.05245376	0.1324745	0.025389738	0.007775284	0.016480865	0.016983733	0.057719227	0.04274434	0.0031361578	0.0029652896	0.00051646004	0.0067065675
è	1.46130005e-05	2.2484182e-05	0.00065684645	0.22192165	0.2871151	0.29849952	0.09350778	0.051294405	0.007271182	0.009501026	0.012498764	0.008335616	0.0042549847	0.0013892198	0.002344608	0.00048835215	0.0008838426
s	1.6879263e-05	0.00013249592	0.005536103	0.059153724	0.38335216	0.14676741	0.17658727	0.13692549	0.007633067	0.019145848	0.013967378	0.030077634	0.01157901	0.0009836653	0.0020467667	0.00029943988	0.0057956916
s	0.00034747418	0.0010092494	0.0010008826	0.031353172	0.05780165	0.09146391	0.6820517	0.04402496	0.057846535	0.017564721	0.012241997	0.000510789	0.00078293163	0.00072391727	0.00034709496	0.00067378447	0.00025523442
u	0.0017023184	0.0022423316	0.0024445357	0.024603778	0.026014764	0.07931789	0.388151	0.10170817	0.055467103	0.07116414	0.12398694	0.033557102	0.034115892	0.025951106	0.0032272672	0.026232582	0.00011308614
ì	2.7416716e-06	1.1060471e-05	3.8607668e-05	0.004409446	0.0036707693	0.514808	0.2269442	0.08919409	0.10799507	0.025519196	0.019753473	0.0043289745	0.0003153554	0.0011776073	0.00044740536	0.00097220915	0.00041180337
b	2.5516588e-06	1.8681896e-05	0.0012265947	0.0088294055	0.0699855	0.119585186	0.3424112	0.3344196	0.018013626	0.026327904	0.023331705	0.043166213	0.009203993	0.00092029566	0.0010461811	9.978003e-05	0.0014115635
b	6.903899e-05	0.00047366094	0.0032136901	0.023085978	0.3420463	0.15158886	0.34847072	0.043705244	0.054581616	0.010678519	0.0066250074	0.0015696607	0.009790267	0.0021017226	0.0012456464	0.000653295	0.000100808145
i	0.0003266979	0.0011048943	0.0033451167	0.02376099	0.08890387	0.127066	0.36357576	0.04576082	0.10984843	0.0393892	0.01756516	0.010867395	0.14451207	0.015638681	0.0028784147	0.005428138	2.8377506e-05
e	1.9309318e-05	1.6405604e-05	8.3945915e-06	0.0010179508	0.000119385586	0.0641904	0.40196672	0.032214873	0.3339035	0.0932475	0.044382475	0.01767281	0.0053042425	0.0033671942	0.00083537033	0.0010590003	0.0006744504
p	1.1116043e-06	2.1499584e-06	8.460549e-06	0.00031780617	0.00077476975	0.17890619	0.08032648	0.42301905	0.1654479	0.045423217	0.07533506	0.02486178	0.0006114081	0.0028124051	0.001190712	0.0007313851	0.00023014897
o	0.0039048889	0.005062795	0.0039006388	0.0012078453	0.0036393194	0.02191469	0.13584147	0.12354101	0.38589948	0.13855532	0.08040838	0.04157845	0.011807937	0.02059107	0.0025727807	0.019544678	2.9279781e-05
d	6.1531983e-07	1.2406234e-06	3.6832187e-06	0.0002627813	0.00019561913	0.059587825	0.08747449	0.247732	0.30995724	0.12351879	0.12650476	0.037363008	0.0011500607	0.0035559447	0.0008561364	0.0015782133	0.0002575843
d	0.0019689973	0.003900166	0.0031096493	0.0013859678	0.0026947882	0.007332784	0.08244113	0.06440367	0.47452456	0.1789146	0.107324354	0.032711856	0.011289121	0.01614266	0.0013738608	0.010455257	2.6534923e-05
h	0.0009959671	0.0018388776	0.0025959325	0.0011214514	0.004178707	0.00364104	0.03424604	0.10451691	0.2533294	0.27012742	0.23011939	0.05122616	0.016545685	0.017109301	0.0026234284	0.0057522254	3.201989e-05
ì	0.0023142782	0.0034393673	0.0026644724	0.0017535219	0.0014933071	0.0017400236	0.03328519	0.02420083	0.314306	0.35284224	0.1857533	0.036761567	0.019980095	0.013632962	0.0014387685	0.0043703243	2.3775501e-05
s	2.6754883e-06	1.7325752e-05	0.00036435708	0.0028547365	0.0077047753	0.008963162	0.17309503	0.0745299	0.21535863	0.17194769	0.08150342	0.16436157	0.07949048	0.011884216	0.0040655946	0.0007648065	0.0030916203
t	0.0015629425	0.0023348897	0.0020763325	0.0009509036	0.014482998	0.012446322	0.30179334	0.08325477	0.2852731	0.09244229	0.083746254	0.024621775	0.050831355	0.016165012	0.008299146	0.00138158	0.0183369
r	0.0012588002	0.0023193895	0.0025395332	0.003820509	0.0056897085	0.011306707	0.11459517	0.10023002	0.22340606	0.12878533	0.18910043	0.10805045	0.042223714	0.03666183	0.008715907	0.017203337	0.0040931674
à	0.0005923497	0.0010635006	0.0006846337	0.0028461134	0.00035934985	0.0065799057	0.03822787	0.039394364	0.2653115	0.18856297	0.21972747	0.11267257	0.034391847	0.062196054	0.0055158883	0.02179983	7.383791e-05
k	1.934308e-06	8.809617e-06	6.393593e-05	0.0010161287	0.0013093983	0.0055758893	0.08427242	0.023945596	0.25114843	0.22367747	0.10548142	0.14742327	0.12708965	0.018110499	0.0064219325	0.0014143209	0.0030388497
k	0.00024215352	0.0010919695	0.0019732665	0.0014172705	0.0076459693	0.018480225	0.13102911	0.08543043	0.45137474	0.09234738	0.08659587	0.020487059	0.06637301	0.022261705	0.0073083	0.0039384323	0.0020031752
o	0.0007175758	0.0020389631	0.0040338724	0.003304871	0.0060410528	0.008736353	0.06211748	0.06882279	0.23735951	0.15418199	0.15953659	0.09251868	0.13907401	0.037821922	0.005107089	0.018075235	0.00051198
j	1.2306505e-05	1.1948241e-05	1.6986427e-05	0.0006162735	4.8613332e-05	0.009855966	0.036228955	0.025527569	0.36532763	0.12428403	0.16455115	0.11463238	0.009944841	0.061901193	0.039279193	0.03329375	0.014467161
a	0.003193049	0.0033253	0.0017938546	0.001847796	0.0005045569	0.00398439	0.018036334	0.01222622	0.25310752	0.18011247	0.11636834	0.1765924	0.06312433	0.10132032	0.018799802	0.04563643	2.6936883e-05
t	2.838574e-06	3.1431987e-06	5.9430413e-06	0.0002677357	5.7764904e-05	0.00794188	0.01253491	0.035241425	0.27193445	0.116939485	0.1987755	0.14037423	0.014122129	0.08270477	0.052707396	0.055690657	0.010695695
ì	0.0010435315	0.0013442085	0.0008403471	0.0005220133	0.00079128565	0.0024134428	0.0147304805	0.028565723	0.24948768	0.14846644	0.15137677	0.16123936	0.07175316	0.11373073	0.01392084	0.039734233	3.9682294e-05
ì	5.339602e-07	1.5628634e-06	2.8004863e-05	0.0009808018	0.00207215	0.0047783074	0.023848295	0.06473795	0.06315061	0.17333567	0.20594153	0.30638528	0.12872727	0.015679993	0.007178098	0.0010721821	0.0020817027
c	6.6361777e-06	0.00010280759	0.00060798984	0.002471915	0.015114102	0.018611781	0.025835106	0.034894217	0.07963866	0.08463173	0.078246854	0.2153582	0.34010413	0.05373111	0.033456303	0.0031775467	0.0140108615
h	5.9456546e-05	0.00016262213	0.00020637037	0.00016401002	0.0012234639	0.010116224	0.06574688	0.060216155	0.21411769	0.108019136	0.13319059	0.109771684	0.22228947	0.046960924	0.018814642	0.008773719	0.00016691643
e	0.0003432274	0.0004912971	0.0002989506	0.000293151	0.00034541564	0.00087750645	0.006228957	0.003493069	0.11878257	0.10991377	0.046835978	0.062400315	0.59808254	0.04047198	0.0037687905	0.0073651257	7.2385274e-06
p	3.4420148e-06	2.2275262e-06	3.4231787e-06	0.00010063743	8.102019e-06	0.001342219	0.0069595766	0.0030425908	0.10932236	0.0659147	0.13581522	0.23891	0.09641429	0.18104662	0.09382316	0.054810185	0.012481214
o	0.005756615	0.004719569	0.0013714153	0.0027005014	0.00014755779	0.0014959709	0.0057973624	0.0013792298	0.09766131	0.09816592	0.05293473	0.15802096	0.17050004	0.22938691	0.074367836	0.09554667	4.7432757e-05
l	1.5647106e-06	1.3817888e-06	2.4834703e-06	0.00014718917	2.7608723e-05	0.003150803	0.0031511171	0.007703021	0.07453877	0.0537606	0.11614783	0.1449131	0.040375344	0.1743163	0.18979019	0.16729945	0.024673281
e	0.004919295	0.0070968894	0.0036169393	0.004569023	0.0012183265	0.0027404295	0.009230314	0.0063781217	0.1069205	0.12204767	0.09080337	0.16136187	0.08560406	0.18772651	0.057589695	0.14799097	0.00018602498
m	3.2229877e-06	2.6285022e-06	3.905502e-06	0.00020121633	4.5253473e-05	0.0026821028	0.0021025382	0.006513574	0.05392735	0.040823326	0.0713901	0.07808172	0.024342269	0.16735807	0.21168089	0.31342882	0.027413052
ì	0.0005191702	0.0008327723	0.00023412441	0.001174835	4.4151056e-05	0.0012505124	0.008769399	0.0014119468	0.12087277	0.07891759	0.09142421	0.18767728	0.12466307	0.2268354	0.0379255	0.11731335	0.00013389013
s	4.0590555e-07	7.0955156e-07	4.614774e-06	0.00012044905	0.00024768207	0.0030187855	0.0049646255	0.010005337	0.029390164	0.061202157	0.08628007	0.18374495	0.41847664	0.08186185	0.08040477	0.027620856	0.012655859
o	0.0010958908	0.0029358729	0.003376679	0.0030053663	0.004427594	0.0029055208	0.012783963	0.0072322856	0.083861634	0.05158412	0.0896705	0.052629177	0.21531379	0.22683792	0.123298004	0.07204657	0.04699512
n	1.0373375e-05	6.53524e-06	8.561932e-06	0.00043173475	9.3952185e-05	0.002870692	0.0036806297	0.005655561	0.034784168	0.035273764	0.055763	0.0453082	0.021209234	0.1363418	0.3059113	0.26676562	0.085884795
t	0.0015094912	0.0025079867	0.0012269737	0.0015817493	0.00073216634	0.0012953839	0.003225107	0.0042327386	0.041902233	0.050304838	0.04804078	0.10431111	0.081230916	0.2100161	0.095680736	0.3515592	0.0006424454
a	0.0031663862	0.0027882406	0.002440364	0.0025978729	0.0015850535	0.0024915426	0.0032672845	0.009630404	0.011813774	0.033091307	0.045210704	0.10915608	0.16374989	0.20346767	0.114488006	0.29092357	0.00013185792
ò	8.171287e-06	4.772246e-06	5.8168444e-06	0.00028968943	4.738783e-05	0.0016446963	0.0012349493	0.0021160464	0.012162191	0.012234981	0.019348595	0.018387143	0.016676286	0.092574276	0.24907821	0.5030914	0.071095414
l	1.3543315e-06	1.5200926e-06	1.0856843e-05	4.0514642e-05	0.0010856119	0.0018800334	0.0016443607	0.012824443	0.0091515	0.022140907	0.041005258	0.09344363	0.61996126	0.07299577	0.09980022	0.014458698	0.0095541235
i	0.00027733212	0.0014044789	0.0018713396	0.0005377824	0.0025071257	0.0008453173	0.0031825062	0.0035071594	0.036964417	0.019248895	0.028818956	0.050250318	0.32886696	0.22546612	0.20196742	0.08498569	0.0092981495
t	3.2366763e-05	1.2355923e-05	1.393137e-05	0.00063622685	0.00015754117	0.0033015122	0.0035500946	0.008073434	0.02442092	0.030048732	0.060116865	0.043431163	0.016774107	0.119097024	0.27573937	0.33804148	0.0765529
i	0.0030649179	0.0041024084	0.0019089237	0.0022938892	0.0010085583	0.0014547984	0.0024531926	0.0025729619	0.016439725	0.028406002	0.022600893	0.06337961	0.1250657	0.1788554	0.15595405	0.3898567	0.00058224605
n	1.8456456e-05	6.563015e-06	5.584697e-06	0.00023208394	5.403825e-05	0.0013592602	0.0008860683	0.0021859095	0.007127188	0.0076251444	0.013286901	0.013282327	0.012241833	0.082419835	0.177556	0.6363997	0.04531317
a	0.0013780972	0.001701908	0.0009846902	0.00093903526	0.0006319072	0.0009382941	0.001284011	0.0018535202	0.015609403	0.02194341	0.018430088	0.07450723	0.07696183	0.17665428	0.20487486	0.40025195	0.0010554737
d	2.1257758e-05	6.8175727e-06	5.1503866e-06	0.00019734462	5.0872062e-05	0.0012331393	0.00079524954	0.0023748628	0.0058241235	0.0065164976	0.013230771	0.013997967	0.010931372	0.0806826	0.15623645	0.67365694	0.034238502
d	0.0035850029	0.0073373113	0.0041800044	0.0060850964	0.0023832012	0.0029225054	0.004202083	0.0044974242	0.022722963	0.038378384	0.031033207	0.055486362	0.09226149	0.13775636	0.11170159	0.4739399	0.0015271917
o	0.008151653	0.012038024	0.012713051	0.010301118	0.008502853	0.004412333	0.009406399	0.027499055	0.015894983	0.03490857	0.06028095	0.060737167	0.10131133	0.12852345	0.08268301	0.42178127	0.00085474504
m	3.5527173e-05	1.0136673e-05	9.08649e-06	0.00051603396	7.341274e-05	0.0032904663	0.00218655	0.0019764197	0.0065597724	0.0042800633	0.011063918	0.011695297	0.013253582	0.069161855	0.13128169	0.6611619	0.08344438
à	4.3129865e-05	0.000251602	8.61967e-05	0.00072526326	1.6760474e-05	0.00064742664	0.0020073536	0.000263611	0.021586396	0.017272098	0.023010353	0.08194729	0.119792916	0.2738669	0.082043946	0.37587845	0.000560238
</S>	2.822666e-05	1.1706639e-05	5.144196e-05	0.0006919735	0.001309831	0.013561119	0.009798198	0.01849125	0.029703964	0.034115963	0.062402554	0.07476536	0.43918017	0.06800511	0.05351529	0.15272117	0.041646678
