 	viene	fabbricato	</S>
è	0.97279525	0.027194576	1.02337835e-05
r	0.8264893	0.109090395	0.06442028
k	0.021464832	0.97208226	0.006452965
e	0.0059034997	0.9939547	0.00014180558
t	0.018868105	0.9737159	0.0074160188
e	0.09962845	0.89995354	0.00041803715
f	0.033092763	0.94916946	0.01773774
a	0.061230484	0.9383321	0.00043745345
b	0.051604353	0.76530516	0.18309051
b	0.027242757	0.9722917	0.00046553975
r	0.09060764	0.90908724	0.0003050634
i	0.60174876	0.3204473	0.07780396
k	0.016837317	0.21714984	0.76601285
à	0.0045202672	0.98529345	0.010186298
t	0.06300822	0.7874263	0.14956556
o	0.0101912515	0.22778477	0.7620239
</S>	0.0034297258	0.050566453	0.9460038
