 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.89189	0.10640329	0.001134072	0.00012187202	0.00022142251	9.076733e-05	3.7539205e-05	5.107635e-05	2.2285449e-05	1.4679367e-05	1.2823014e-05	1.1136578e-07
j	0.36627483	0.61789936	0.007310426	0.0007302186	0.0034510887	0.0017533179	0.00049683586	0.0006321447	0.00017122179	0.00026477326	0.00031753888	0.0006982715
i	0.18083306	0.54091185	0.0032179537	0.092774965	0.11571814	0.0015311955	0.054258086	0.002323515	0.007099846	0.00052605994	0.0007465811	5.8743033e-05
n	0.12336578	0.86974007	0.0023616033	0.00054044934	0.0016770265	0.0006479124	0.0002553282	0.0003391624	0.0003916281	0.00013298819	8.8321474e-05	0.00045970865
è	0.02462638	0.9434546	0.0025796473	0.008809443	0.013526715	0.0004832899	0.004684651	0.0004740444	0.0009589449	0.0001860979	0.00020529343	1.0905937e-05
k	0.15862672	0.6518183	0.04630327	0.00504196	0.0071999	0.0139026875	0.005183241	0.008027509	0.015282084	0.007939412	0.006731945	0.073943004
a	0.31125855	0.6693628	0.005212219	0.0008092198	0.0016383318	0.0009176669	0.0005431363	0.0005312449	0.0018292937	0.0001769351	0.00054384815	0.007176805
è	0.019781586	0.43274868	0.47301847	0.017332658	0.016053706	0.011099243	0.0022596824	0.0043074978	0.002953798	0.0016364761	0.0013314832	0.017476717
n	0.012704835	0.100663245	0.7481241	0.024846466	0.013994947	0.022359528	0.004174124	0.008917366	0.014294661	0.006747963	0.005247921	0.037924755
e	0.012423308	0.011828836	0.54605114	0.27821028	0.055939045	0.020278413	0.02687463	0.013044097	0.01970312	0.0045440686	0.007384866	0.0037182234
k	6.111994e-05	0.001012586	0.71532965	0.26065984	0.015037916	0.0034723715	0.00095100666	0.0010952969	0.0008322782	0.00038067845	0.00018084304	0.0009864485
a	0.004154409	0.0017477216	0.02322765	0.78176785	0.11858304	0.0044756564	0.05280963	0.0035450498	0.0077271145	0.0008330501	0.0010762761	5.2550215e-05
p	1.8500017e-05	0.00016686879	0.13325611	0.82312727	0.03839474	0.002116809	0.0013842771	0.0005447267	0.00044062416	0.00020643625	8.3869774e-05	0.00025982404
à	0.0024495877	0.0015274507	0.0060848454	0.85004294	0.11100906	0.0021499256	0.021636894	0.0011725932	0.0032610546	0.00027887517	0.00036218946	2.4513847e-05
c	0.001565468	0.0030193753	0.21297169	0.61874086	0.09340759	0.023719184	0.007147025	0.007295946	0.014934382	0.003528683	0.0022515077	0.011418334
e	0.014707775	0.017756723	0.09570341	0.7255542	0.124608174	0.0060181194	0.0037036592	0.0019052234	0.0064085373	0.00035141245	0.0008316624	0.0024510305
n	1.6768488e-05	3.1355903e-05	0.008449157	0.86702114	0.11429577	0.003913973	0.0032169777	0.0011230519	0.000960686	0.00027815276	0.00016227338	0.0005306173
a	0.002770558	0.003356483	0.0017245149	0.34580195	0.58830523	0.009989397	0.037964847	0.0025425185	0.006332026	0.0004883549	0.00070067844	2.3502365e-05
p	3.1787042e-06	1.4777632e-05	0.0015936627	0.4452376	0.50888187	0.026460623	0.01225328	0.0024121306	0.0013768451	0.000866778	0.0003352556	0.00056400895
u	0.0035211307	0.0032842339	0.00080198364	0.2056178	0.6992235	0.016215237	0.062066007	0.002336766	0.0058274344	0.0004951132	0.0005533647	5.7494937e-05
l	2.9086818e-06	1.1014888e-05	0.0015019786	0.21314181	0.7028869	0.0561371	0.020174213	0.002996608	0.0016489543	0.00080343726	0.00027653883	0.0004184791
i	0.0036601196	0.006901868	0.0004817773	0.06673288	0.7774432	0.032989588	0.101882696	0.0029689267	0.0057487166	0.0005213986	0.0005804132	8.842816e-05
z	3.4514442e-06	1.1925284e-05	0.00073993014	0.09427472	0.7014704	0.13509344	0.056146134	0.006685082	0.0028244099	0.0014944084	0.00054801063	0.00070802827
z	0.0034750092	0.012028045	0.00047626265	0.028791605	0.67991066	0.076598644	0.18384701	0.005863438	0.007001512	0.00089362636	0.00089134695	0.00022290349
è	0.0065445527	0.01781753	0.001497087	0.06642345	0.5743635	0.09253496	0.17701557	0.013726955	0.044517986	0.0028656686	0.0025337187	0.00015899814
s	6.2828585e-05	0.0001810039	0.027223326	0.044664774	0.4215848	0.18178688	0.10461778	0.04008391	0.13247117	0.014353899	0.010968756	0.022000901
s	0.0019067881	0.006204877	0.0020191064	0.043691564	0.5073729	0.27297932	0.09288168	0.017983017	0.03018321	0.002166598	0.007127862	0.015483063
i	0.009786034	0.029238388	0.0045942934	0.05943281	0.22149122	0.13215873	0.3319176	0.025554908	0.14661682	0.0074448925	0.02436437	0.007399965
è	5.557036e-06	1.0498169e-05	0.00016687762	0.0061402502	0.08797806	0.42056206	0.37511876	0.08043962	0.013837504	0.009800201	0.0030821369	0.0028585796
n	2.0701673e-06	7.746655e-06	0.001317922	0.0028015496	0.04109167	0.40388706	0.18598054	0.11784244	0.223388	0.012070332	0.0034418236	0.0081688985
a	0.00059166923	0.00076345593	0.0002960696	0.0022059078	0.027036848	0.30817991	0.44461277	0.10021658	0.1002969	0.006605639	0.007463202	0.0017310736
p	8.43069e-06	1.7625023e-05	0.00019068547	0.0016741569	0.018263206	0.22754598	0.32146373	0.31456283	0.052220106	0.053554755	0.0061055184	0.004392966
u	0.005721932	0.004514552	0.0011961061	0.0014773714	0.010434042	0.07242564	0.5746908	0.16306588	0.13154246	0.023461418	0.01138246	8.735919e-05
l	1.9962467e-06	2.4096262e-06	4.9294697e-05	0.0006768316	0.0041840575	0.12757723	0.47267613	0.26983592	0.07341762	0.041674655	0.0069351452	0.0029687085
i	0.006165979	0.004417019	0.0011336423	0.001849187	0.0053986893	0.040387627	0.45310768	0.25653055	0.17121767	0.043814104	0.015902413	7.546635e-05
z	2.312926e-06	2.9853602e-06	4.6343783e-05	0.0005703703	0.0025831596	0.079910375	0.3982554	0.3362899	0.08628794	0.077613644	0.014045473	0.004392043
z	0.0067743	0.0059344396	0.001408795	0.002001368	0.005289503	0.02053474	0.49398145	0.1968944	0.21795473	0.037576884	0.011531541	0.00011787262
è	0.0014763153	0.0016287023	0.0003986167	0.0022744131	0.0024606932	0.008207343	0.23216136	0.128796	0.5887408	0.02806757	0.005767465	2.0703197e-05
s	3.0853691e-06	1.17299705e-05	0.00029508825	0.005196687	0.009804951	0.036189113	0.16127244	0.14039797	0.55546904	0.044914685	0.028741324	0.017703895
s	0.002257757	0.0113643445	0.0014146331	0.004893499	0.005331326	0.033735916	0.4035857	0.19332054	0.280158	0.019969292	0.025760345	0.01820857
i	0.00803494	0.028131703	0.0034797846	0.011818316	0.008492337	0.02243054	0.31492868	0.06341566	0.48148054	0.016506968	0.039594308	0.001686281
o	8.248228e-06	8.071871e-06	9.042028e-05	0.0011339746	0.0023155264	0.016061716	0.13107403	0.26006696	0.055215783	0.34604287	0.120822355	0.06716009
s	2.5632983e-06	6.192404e-06	3.1062547e-05	0.00017831997	0.00059954653	0.01101761	0.092784084	0.29025418	0.110471696	0.418029	0.0686799	0.007945835
p	0.0018950405	0.0005591594	0.00030372248	0.0003946458	0.00073093636	0.008367229	0.14522508	0.22628188	0.3097996	0.21844988	0.08771529	0.0002775621
ì	0.0007172157	0.00085384224	0.00059875	0.0005144682	0.00075938535	0.007808208	0.050197527	0.16207485	0.46187562	0.24144658	0.07311028	4.3291235e-05
t	2.3805692e-06	1.6858585e-05	0.00014596632	0.0026001406	0.004351703	0.034206312	0.072811596	0.109498404	0.46321896	0.116136305	0.15364294	0.04336848
i	0.004110027	0.01502282	0.0034720616	0.00781591	0.0039878245	0.014156253	0.25542971	0.17602232	0.3140988	0.0779574	0.11876828	0.009158645
k	7.5848993e-06	1.0021831e-05	0.00010655032	0.000589234	0.0009984146	0.004421017	0.024867974	0.059763532	0.03670103	0.43970963	0.31258473	0.12024031
a	0.004829274	0.0021445986	0.003623215	0.0016583052	0.0020315712	0.00662813	0.046432026	0.09062643	0.15882303	0.3908554	0.2919732	0.00037486936
m	5.979153e-06	5.1319953e-06	5.172791e-05	0.00031134518	0.0006121187	0.0071146376	0.014264241	0.04467421	0.02620752	0.22796442	0.6098341	0.06895464
è	0.0013344865	0.0002640967	0.0003680177	0.0016585098	0.000934438	0.0039374116	0.06435468	0.13518147	0.20293608	0.23612408	0.3527175	0.00018920278
r	1.61755e-06	7.0414635e-06	2.8419918e-05	0.00076215237	0.0012918244	0.023876177	0.036167834	0.038002845	0.1412214	0.07557447	0.55921036	0.123855814
i	0.008102658	0.050352406	0.00871048	0.01429138	0.008626983	0.0059348904	0.0456219	0.042219967	0.12104596	0.09286378	0.4804823	0.1217473
</S>	2.3634873e-05	3.1863183e-05	0.00023652415	0.0013401732	0.0019255732	0.00534165	0.01296767	0.017349549	0.0133071635	0.16829613	0.41062817	0.3685519
