 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.9645726	0.033399764	0.00010933124	0.0017114421	8.670797e-05	9.938359e-05	2.0663985e-05	5.9224874e-08
à	0.22879738	0.0078964345	0.0023605207	0.7418665	0.012303006	0.0042165555	0.0005964294	0.0019631744
b	0.067970335	0.08425014	0.01225072	0.7937127	0.017722905	0.0067983135	0.0012385716	0.016056418
b	0.050120465	0.9161391	0.018810058	0.00016999987	0.005092652	0.0037224614	0.005920722	2.4544393e-05
e	0.023293912	0.9138798	0.009213083	0.008651342	0.008731419	0.0081233485	0.028097045	1.0044555e-05
t	0.018659893	0.9562675	0.013180617	0.0079511665	0.0012601285	0.0016972	0.0003993136	0.00058416976
o	0.025523044	0.9195467	0.026980238	0.011263459	0.002143973	0.003316536	0.011213108	1.3008182e-05
u	0.0053403378	0.1864154	0.04382371	0.7596306	0.0032303594	0.000868257	0.00019187291	0.0004993801
k	0.0048837224	0.045300324	0.43724918	0.4489234	0.05152042	0.010301828	0.0008733519	0.000947816
o	0.027921483	0.18903263	0.5281779	0.018947292	0.03317713	0.03798401	0.16430676	0.0004527667
r	0.00071686984	0.0046210852	0.7272418	0.23980929	0.021788498	0.0035875568	0.0014553652	0.00077952223
a	0.05128821	0.18910727	0.31237775	0.018014453	0.13425863	0.10172872	0.19040532	0.002819714
s	0.0001744209	0.00047725375	0.8421199	0.07982172	0.06453787	0.0073333094	0.0040224358	0.0015131069
ì	0.048445012	0.11610597	0.14240736	0.05340704	0.37891656	0.10134779	0.15720077	0.0021695194
u	0.0034472607	0.01072984	0.17309393	0.24582542	0.4912618	0.046474673	0.010430827	0.01873623
è	6.599496e-05	0.00021348523	0.1993574	0.0059328945	0.739806	0.04496789	0.004949507	0.0047068046
n	0.00018854183	0.0005297351	0.06515171	0.060236547	0.65796244	0.17695752	0.018726863	0.020246655
a	0.0033440974	0.011250651	0.027681073	0.0017407801	0.67394143	0.1791946	0.09775952	0.0050878604
n	2.2551843e-05	2.8693707e-05	0.0042749746	0.002933793	0.18054488	0.7802578	0.02539467	0.0065426854
e	0.00689524	0.007545056	0.0007213683	0.0015342297	0.051211983	0.6658533	0.26598862	0.00025016489
à	9.173296e-06	1.7372517e-05	0.002026456	0.0026082322	0.04423851	0.78285223	0.16497661	0.0032714233
s	1.7274484e-05	5.9072783e-05	0.03970571	0.021123748	0.09312129	0.47530916	0.33133325	0.039330512
p	0.0014458358	0.007722056	0.0011642817	0.00019474568	0.016711246	0.29514298	0.6730758	0.004543118
r	0.0015766136	0.015178732	0.00025367984	0.0001998301	0.0050623068	0.20007315	0.7772237	0.00043193318
o	0.018624566	0.034649305	0.006072556	0.0016511525	0.017838502	0.48612663	0.4348246	0.00021270386
</S>	2.8495315e-05	8.247398e-05	0.0035201048	0.00041557205	0.004387514	0.07405286	0.42481187	0.4927011
