 	vengono	vestiti	</S>
è	0.9495941	0.050391573	1.4283746e-05
r	0.71987545	0.12941006	0.15071447
k	0.68123364	0.3071064	0.011659958
u	0.19037883	0.8085527	0.0010684372
t	0.0023153876	0.9916093	0.0060753888
t	0.010184961	0.98963845	0.00017661469
e	0.024194466	0.97572213	8.337289e-05
n	0.00035453137	0.96814805	0.031497344
d	0.014884778	0.9850227	9.250078e-05
i	0.016067125	0.98253834	0.0013944795
m	0.0015596786	0.8483612	0.15007919
è	0.00042154136	0.9991197	0.0004587503
n	0.059905987	0.647064	0.29303002
a	0.08560788	0.065175846	0.84921634
</S>	0.0027464905	0.079516545	0.917737
