 	questo	muro	vuole	uno	specchio	</S>
c	0.82027215	0.17494975	0.0039126887	0.00080934085	4.460873e-05	1.1412469e-05
ì	0.9628672	0.02794283	0.0028023864	0.006112773	0.00027454784	1.9598018e-07
t	0.98906296	0.010909761	1.0847942e-05	1.0088681e-05	1.7672016e-06	4.4986778e-06
t	0.98624957	0.013105505	0.000564854	7.0158276e-05	3.1313484e-06	6.7485e-06
o	0.62816197	0.31039354	0.029461594	0.028327642	0.003625257	3.0066501e-05
t	0.2921648	0.62811255	0.026850402	0.048956543	0.0013923044	0.002523317
ì	0.02339535	0.8965862	0.061605275	0.013133543	0.0052674566	1.22040565e-05
c	0.05294263	0.93402743	0.0077998503	0.0014121421	0.0010624332	0.0027554834
h	0.02476891	0.5827232	0.38958627	0.0011765074	0.0014428541	0.0003022593
o	0.048384704	0.70401615	0.15630999	0.0079014525	0.08325855	0.00012918346
t	0.0018259464	0.05897494	0.8208559	0.115169235	0.00127504	0.0018989156
è	0.006223848	0.13327597	0.7726014	0.07761695	0.010252431	2.9373592e-05
l	0.0011202167	0.06630289	0.89848953	0.02223744	0.0051831845	0.0066668517
i	0.00039367838	0.005309901	0.9446651	0.0039853686	0.044527657	0.0011182333
è	4.8569123e-05	0.00014968106	0.15612975	0.824428	0.0068321414	0.012411862
n	5.074684e-05	0.0033578582	0.4685778	0.4821534	0.023985336	0.021874899
a	0.00048400462	0.0013742483	0.33610204	0.08978423	0.56884086	0.0034146092
n	1.0200306e-05	1.5638583e-05	0.003561617	0.9615363	0.015723782	0.019152382
j	0.0054951035	0.0030341404	0.0048362673	0.92188966	0.064505465	0.00023927918
a	0.019912435	0.031794954	0.01053066	0.9359422	0.0017652807	5.4410473e-05
l	2.0033189e-05	1.7108125e-05	0.002709824	0.9289458	0.033601683	0.034705564
ì	0.03400951	0.025681471	0.0047914353	0.9319815	0.0033913075	0.00014481648
</S>	4.1865762e-05	0.00037838513	0.21141781	0.16717418	0.14697264	0.4740151
