 	che	vende	buon	pane	</S>
k	0.9650866	0.034623064	0.0002241917	6.592304e-05	2.4678718e-07
a	0.9783714	0.015139618	0.004907157	0.0015817045	1.6549866e-07
i	0.1260795	0.85187703	0.010019402	0.0059324875	0.006091581
p	0.023497894	0.89270836	0.07902093	0.0042099156	0.0005629787
u	0.46988454	0.18699451	0.30200619	0.04101375	0.00010093587
l	0.038256798	0.64273244	0.24147585	0.06442498	0.013109912
ì	0.17855752	0.020695629	0.7448075	0.05590442	3.4934998e-05
t	0.00652774	0.3570311	0.5056389	0.09260494	0.03819731
s	0.012923457	0.027430937	0.9000294	0.053971693	0.0056445478
o	0.02133473	0.02240018	0.6098581	0.34572023	0.00068673905
m	0.00048108192	0.00032328666	0.08639468	0.88816226	0.024638655
ì	0.037258837	0.0013021055	0.6303117	0.33112112	6.1599917e-06
k	0.00067559513	0.0014042225	0.07308765	0.8823834	0.042449124
a	0.004663205	0.006292886	0.4027912	0.5835725	0.0026802293
l	0.00017075846	0.0002542084	0.00320183	0.84430707	0.15206617
ò	0.008970901	0.006099471	0.05979418	0.9250851	5.027768e-05
</S>	0.00045990842	0.0007504359	0.05960021	0.69324505	0.2459444
