 	oggi	abbiamo	deciso	di	andare	al	mare	alla	spiaggia	sono	andati	tutti	solamente	mio	fratello	non	</S>
s	0.87572944	0.121437386	0.0006919181	0.0002632923	7.34028e-05	0.00020405852	8.446943e-05	9.5153126e-05	8.445147e-05	0.00011706535	7.7812656e-05	0.0010204259	4.9361304e-05	4.3548695e-05	1.4969294e-05	1.2927014e-05	2.716567e-07
ì	0.88249683	0.08889447	0.011127965	0.001802273	0.0005748201	0.00036730184	0.008446565	0.0015260623	0.0033156495	0.00027001876	0.00047694313	0.00010742868	0.00020879942	0.00023593334	0.0001311272	1.5156497e-05	2.6340754e-06
m	0.50231946	0.4497977	0.0040115174	0.0010667342	0.00038392836	0.001278407	0.0012276582	0.0006257974	0.00091869483	0.0020015864	0.0013897234	0.023805253	0.0020022346	0.0013582058	0.00068305625	0.0005292477	0.0066008177
b	0.4374739	0.508082	0.02344707	0.0046949224	0.00037302842	0.0024899046	0.004782783	0.0032550008	0.0043663443	0.00047286396	0.0007111592	0.0023126428	0.0050255405	0.001668249	8.705991e-05	9.000846e-05	0.0006675437
e	0.3780484	0.4691863	0.033168674	0.01626404	0.0029836665	0.009218557	0.017395947	0.010117794	0.02709297	0.004332664	0.0044038827	0.016983468	0.00799442	0.002296529	0.00043576906	5.7047244e-05	1.9930547e-05
r	0.36694217	0.39251685	0.2332333	0.0018463896	0.00014134265	0.00022546719	0.0021415919	0.0003650714	0.00036711225	0.00015359302	0.00010795598	0.000749249	0.0006734231	0.0002854541	8.064674e-05	2.0516934e-05	0.00014991118
i	0.0145948	0.109745204	0.74219835	0.021000724	0.0043430286	0.00218095	0.047838535	0.016758285	0.030048428	0.0013398837	0.0028750899	0.0003432427	0.001485031	0.00053226744	0.004651713	4.4041404e-05	2.0368025e-05
d	0.017560545	0.24625096	0.69639117	0.018664263	0.0037343265	0.0019534114	0.0027283477	0.00062754145	0.00048449542	0.0010949001	0.0004194312	0.008300047	0.00044978235	0.00031805516	0.00012619517	0.00016779928	0.00072870473
e	0.0066036745	0.040854998	0.8861006	0.013739477	0.0023445226	0.00083554524	0.026168402	0.0067304145	0.012598725	0.0005135416	0.0010321927	0.000118695534	0.00051590765	0.00021849488	0.001583569	2.5183803e-05	1.5950576e-05
c	0.0014730443	0.019606333	0.919413	0.040738925	0.005067641	0.002123418	0.0030044226	0.0005942828	0.00042915193	0.0010060029	0.00040981921	0.0046923202	0.0004162656	0.00033375912	0.00012570863	0.00016740055	0.0003984765
i	0.005535208	0.01984572	0.95337754	0.006363601	0.00046837638	0.00014942637	0.008348387	0.001725064	0.003500493	4.7276735e-05	0.00015590548	2.710805e-05	0.00018919805	0.00012882256	0.00012869325	5.840094e-06	3.3627764e-06
d	0.0012343347	0.009782427	0.9468871	0.03486359	0.0009703194	0.00063086586	0.0037451766	0.0006156736	0.0004108632	0.00020624005	0.00013324471	9.5500545e-05	0.00014116649	9.744125e-05	0.00014244243	1.5325648e-05	2.8303662e-05
è	0.0035954448	0.010387605	0.9436138	0.024679184	0.0017035556	0.0007104016	0.006879184	0.0014976328	0.003928439	0.00043183187	0.0010375046	0.000177875	0.00034983052	0.0005622082	0.00030030194	5.0518986e-05	9.4553965e-05
s	0.01689793	0.112728685	0.69195074	0.08933651	0.00065280846	0.006302182	0.0030126143	0.0013445172	0.0009591089	0.004322682	0.0011035033	0.056469094	0.0062981234	0.002095311	0.00043186746	0.0008490142	0.005245366
s	0.0031801492	0.013028785	0.8569155	0.08615925	0.0040681106	0.008279783	0.0035011861	0.0020439483	0.0031175911	0.0010743674	0.0020099208	0.0031659373	0.002033145	0.002348778	0.00018271431	0.0012362716	0.0076544737
a	0.010137359	0.031623356	0.7755767	0.07727656	0.0040643644	0.00660867	0.03559934	0.012839973	0.027530506	0.0033043239	0.0046150913	0.0042349976	0.0021454678	0.0019619956	0.00075768115	0.0004451348	0.0012784634
m	2.242249e-05	2.438071e-05	0.05697522	0.7969465	0.10616422	0.013086265	0.017357577	0.0021772233	0.0015154651	0.0011990659	0.0010693504	0.001003899	0.00037009036	0.00069689687	0.0005272789	0.00049321854	0.00037092372
o	0.008382474	0.0038715596	0.66157407	0.15740427	0.0061507425	0.004628809	0.0755211	0.024845239	0.044253178	0.0010615551	0.0029266234	0.0002881062	0.0032722095	0.00095353584	0.0048285974	2.5532207e-05	1.2415181e-05
n	8.088456e-06	8.1212975e-06	0.021519752	0.72297007	0.20076537	0.022665834	0.02466019	0.0021493149	0.001099301	0.0011371144	0.0006729397	0.0006197401	0.00023240807	0.00042955417	0.00048179136	0.000377719	0.00020258277
a	0.0125204865	0.014232195	0.1679585	0.3482754	0.19376941	0.027165381	0.18364833	0.01578877	0.024435475	0.0028219938	0.0034065659	0.0008580141	0.0011376883	0.0006347425	0.0031193073	0.00014905444	7.860042e-05
p	3.6178035e-06	2.9016078e-06	0.0018270785	0.32714057	0.595064	0.04507632	0.023367632	0.0016689465	0.00094381085	0.0009886419	0.0007195757	0.0018518729	0.0001766489	0.00034118374	0.0002477136	0.00037923045	0.00020031304
à	0.01116669	0.0046927133	0.056577597	0.17360078	0.39419276	0.039235853	0.2817174	0.015957166	0.01717026	0.0010329869	0.0015760907	0.0005000255	0.0006709196	0.0006321668	0.0008554424	0.00022147357	0.00019975696
m	0.00021825462	0.0007467041	0.023499876	0.27319086	0.06895599	0.3643436	0.08115265	0.0075352765	0.0028387045	0.015773483	0.0029086287	0.1122169	0.024225527	0.00587526	0.0011233286	0.002056736	0.013338241
e	0.002492317	0.0029228756	0.074283935	0.3712688	0.35300517	0.11230294	0.05302999	0.0085836435	0.007820902	0.00085017143	0.0015218019	0.0028411555	0.004523187	0.0014475294	0.00021429587	0.00030972203	0.0025815328
s	6.7840033e-06	6.1861783e-06	0.0003571712	0.04279128	0.3249237	0.3877281	0.21057184	0.013913654	0.0040518125	0.0043458533	0.002328354	0.0023545274	0.0011231214	0.0017683408	0.001129985	0.001629437	0.0009697991
t	0.0035899251	0.0035218666	0.0087484	0.016584298	0.16798082	0.12086312	0.57916284	0.055689335	0.03589749	0.0020344432	0.0024126132	0.00073570304	0.00072719844	0.0002513399	0.0017028978	6.815938e-05	2.9553668e-05
i	0.009476129	0.026754497	0.022953423	0.017987711	0.019254925	0.088203706	0.5550731	0.085252546	0.09487726	0.010723983	0.013435094	0.005744625	0.01710848	0.002690601	0.030252034	0.00016229542	4.9607934e-05
t	1.8813738e-06	1.350944e-06	4.2589076e-05	0.0062981606	0.2815772	0.37698707	0.2801001	0.03481183	0.008387027	0.0042819018	0.002603175	0.0009049199	0.0003846071	0.000948983	0.00084073876	0.0013338248	0.0004946324
à	0.0015916114	0.0012451571	0.004033078	0.005737585	0.09270349	0.09252119	0.6717026	0.08228723	0.04078115	0.0020725175	0.002131628	0.00073593855	0.0008353421	0.00016033153	0.0014077731	4.2134285e-05	1.1183613e-05
l	1.4669692e-05	6.4494656e-05	0.0011654919	0.019830195	0.030359184	0.43594056	0.23269738	0.021339618	0.005727833	0.020383894	0.0033353616	0.19685806	0.021141972	0.0030452572	0.00033542182	0.0006605524	0.007100024
a	0.0010617722	0.0010452452	0.0024471106	0.010393453	0.23312911	0.31458735	0.31400406	0.061370667	0.03750369	0.002089981	0.0036983793	0.005439652	0.0060693948	0.0019175141	0.00032800797	0.0004877475	0.004426938
s	4.1970234e-06	3.7872783e-06	3.2471868e-05	0.001484161	0.07262922	0.39161792	0.32841545	0.10883148	0.027957594	0.027353277	0.012810072	0.012041211	0.0036037834	0.0045939605	0.0024790617	0.0046509327	0.0014914434
s	0.0016389345	0.0014139579	0.0016477862	0.001087665	0.014275322	0.086207874	0.49058837	0.24841757	0.12898162	0.00783718	0.008341441	0.0024498662	0.003011784	0.00046135474	0.0035503192	7.287047e-05	1.613933e-05
a	0.004117463	0.015703626	0.0058428766	0.0032056712	0.0019218047	0.054602716	0.45942426	0.17041956	0.12638782	0.026450824	0.026937457	0.014229496	0.042410105	0.0055637113	0.042445384	0.00030461905	3.2594307e-05
s	1.5926237e-06	1.3503989e-06	1.2223962e-05	0.00070895324	0.021989843	0.24431367	0.3061237	0.28241864	0.07841689	0.03230184	0.018075902	0.0027204102	0.0021306754	0.0038941964	0.0020750158	0.003684986	0.0011301943
t	0.0008754582	0.0007281764	0.0010855116	0.0007420259	0.007961873	0.05976766	0.4150645	0.29762667	0.17235205	0.012825539	0.013814678	0.0039986963	0.007328319	0.0007751545	0.0049666436	7.869496e-05	8.28958e-06
i	0.002135846	0.009711207	0.003304116	0.0018689149	0.00096769765	0.036063965	0.46579644	0.19743876	0.14703752	0.02528291	0.025599876	0.010094822	0.040126428	0.004217851	0.030167077	0.0001698031	1.674243e-05
s	1.2877179e-06	1.2097336e-06	9.25549e-06	0.0005888194	0.012394462	0.15750504	0.28900734	0.33701137	0.108043596	0.051765684	0.025278915	0.0043201284	0.002924637	0.0046223644	0.002346695	0.0034719002	0.0007073546
p	0.0010724544	0.0014432166	0.0012707757	0.0005837966	0.0029302514	0.019816535	0.42346188	0.26999092	0.22925767	0.014180321	0.015588032	0.0043889727	0.0092918975	0.0009009877	0.0057335873	7.9640406e-05	9.11577e-06
i	0.0024144277	0.0076077133	0.004154621	0.0018699969	0.0005188517	0.011771432	0.4555511	0.22930329	0.17720535	0.013973057	0.018380765	0.0053113187	0.04223415	0.0037928028	0.025781346	0.00011518986	1.46773955e-05
à	1.2821553e-06	1.2720936e-06	1.1033928e-05	0.0005963358	0.0059899334	0.09697467	0.28960925	0.3731264	0.13119696	0.05346076	0.02863489	0.003767431	0.0038228787	0.0057755676	0.0026030513	0.0035648372	0.00086353434
g	2.5738761e-06	7.349471e-06	0.00024178028	0.010653013	0.013012262	0.095073044	0.27860582	0.12142663	0.05125855	0.087321885	0.029115707	0.18627878	0.093072794	0.016764682	0.0019203926	0.0038570627	0.011387674
g	0.00072730245	0.0008587781	0.00089169614	0.0010438007	0.008625114	0.07803836	0.29462495	0.28217018	0.23328699	0.013872328	0.020186756	0.016045794	0.04052057	0.005831499	0.00088826125	0.00044966704	0.0019379312
i	0.002296267	0.014737098	0.0032328865	0.0046356153	0.0008553757	0.027008597	0.23252612	0.31066006	0.25288057	0.031424604	0.03173662	0.017516365	0.054270856	0.004597681	0.010878317	0.00026217842	0.00048081542
