 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.8695368	0.12730326	0.0026646205	0.00034868054	6.897494e-05	5.385305e-05	1.4791269e-05	8.758615e-06	1.603557e-07
j	0.47226185	0.5103554	0.011089674	0.0028120119	0.00078115275	0.000967163	0.0003034409	0.00017580672	0.0012535
i	0.15718985	0.53468734	0.24269727	0.008453519	0.03454432	0.0012460297	0.018182255	0.0029798313	1.9487754e-05
n	0.16099456	0.8130399	0.021082172	0.0020609964	0.0006853782	0.0003151121	0.0013015846	7.18659e-05	0.00044845804
è	0.024670862	0.823473	0.14345068	0.0011668496	0.0050310437	0.00023175443	0.0016622787	0.00031027995	3.304589e-06
k	0.095569864	0.83028716	0.024808582	0.0047357897	0.0031770053	0.0029311646	0.007382938	0.0015938737	0.02951367
a	0.30215836	0.6272502	0.061957724	0.0017621932	0.0031130065	0.0003723108	0.0012422272	8.660197e-05	0.0020574294
p	0.018321622	0.5074836	0.38227516	0.05098554	0.0075708027	0.0062659825	0.00564955	0.0009837202	0.020463958
u	0.009618785	0.028549464	0.8054982	0.046322327	0.073108725	0.004258629	0.022101665	0.010497594	4.4563356e-05
l	0.0010211583	0.03372491	0.9169826	0.03577769	0.0066553666	0.0010931562	0.0036579238	0.00042012736	0.0006671727
i	0.008539528	0.013249054	0.82739925	0.055741776	0.06818679	0.0021636984	0.018689508	0.006005753	2.4688257e-05
z	0.00025934886	0.0039998074	0.87245023	0.100276336	0.014031443	0.0022437293	0.0055017895	0.0006286435	0.0006086418
z	0.0071951207	0.01563057	0.8497327	0.0489418	0.06783164	0.0014211119	0.0070709963	0.0021147928	6.127315e-05
è	0.032372624	0.04063152	0.86327785	0.01909823	0.031310473	0.0006796658	0.011545479	0.0010694307	1.47577475e-05
i	0.009327058	0.0121581135	0.7351669	0.1318172	0.061557133	0.006953709	0.03229024	0.0045285146	0.006201102
o	1.8484718e-05	0.00011827867	0.068237506	0.8124789	0.08229076	0.015652398	0.018462963	0.0009743026	0.0017664318
s	1.7188357e-05	0.00020747348	0.019695418	0.8407498	0.1003625	0.03386645	0.0044090906	0.00028641455	0.00040556688
p	0.0027742025	0.002727543	0.027984379	0.1336288	0.79975367	0.008012368	0.021617724	0.0034058187	9.547163e-05
ì	0.0053268075	0.009125613	0.027528701	0.12193283	0.65903944	0.011401469	0.15397328	0.011653951	1.7885177e-05
t	0.00018296282	0.00037156884	0.026511116	0.30861512	0.5630159	0.038569473	0.041957572	0.0033946931	0.017381554
i	0.0024332774	0.0048672953	0.011799492	0.28202996	0.6276412	0.057102244	0.009499938	0.0028766326	0.001749955
o	1.3082461e-05	5.1775307e-05	0.00044534524	0.093496144	0.20546418	0.6232146	0.068679936	0.0067946687	0.0018402328
à	4.962293e-06	4.082387e-05	0.00013091177	0.049910076	0.15609467	0.68024385	0.10931263	0.0038943863	0.00036771983
n	5.031572e-06	9.556682e-06	0.0002236651	0.024804052	0.17262547	0.33302256	0.45677948	0.004008615	0.008521435
t	0.001121885	0.0008398012	0.00073696504	0.0070375605	0.26111865	0.48629263	0.2175391	0.0239579	0.0013554719
r	0.0015825599	0.0036515782	0.004072123	0.0037456208	0.12182514	0.09644793	0.67049855	0.09799022	0.00018634446
e	0.004008672	0.011568225	0.008142958	0.00499329	0.017653506	0.040628802	0.8365738	0.07638503	4.572763e-05
p	2.0111902e-05	3.7336515e-05	0.00011321812	0.0017047961	0.003995239	0.18184881	0.48348573	0.26739427	0.06140056
o	0.01244566	0.011946363	0.006316532	0.003862776	0.016492192	0.07927668	0.63431233	0.2351645	0.00018297423
d	8.013677e-06	1.2405352e-05	4.2155214e-05	0.0012286982	0.0021477928	0.08394924	0.6109869	0.29076603	0.010858778
è	0.0113358535	0.01836884	0.010856867	0.0027614064	0.009478834	0.016938863	0.5705546	0.35945946	0.00024527346
g	3.2881348e-06	8.927821e-06	6.676125e-05	0.0069018174	0.013685644	0.027678289	0.78946644	0.13817003	0.024018837
g	0.003074048	0.0067052073	0.0032876534	0.0044294163	0.010552767	0.08672331	0.5141591	0.31864882	0.05241972
h	0.002294257	0.007571602	0.0047918228	0.0020271207	0.010862443	0.008234846	0.80756086	0.1562098	0.00044722384
e	0.0013898411	0.0011763817	0.003263622	0.0031085825	0.009653299	0.00755752	0.75601226	0.21779175	4.666059e-05
</S>	3.5678455e-05	5.6115583e-05	0.00020088711	0.0008907225	0.0011066572	0.005896973	0.078795016	0.6736588	0.23935917
