 	non	sono	andati	</S>
e	0.98789585	0.008936971	0.003162854	4.35597e-06
n	0.9564438	0.03431424	0.007367074	0.0018748962
è	0.045578383	0.75637877	0.19799972	4.3177708e-05
c	0.02456105	0.8398951	0.06373375	0.07181005
h	0.0665069	0.926699	0.0039085476	0.0028855533
u	0.048264127	0.79143256	0.159355	0.00094825507
n	0.0022618726	0.019898914	0.9696128	0.008226411
e	0.053585574	0.048282173	0.8980989	3.3417058e-05
p	0.0011015387	0.00074365566	0.96643597	0.031718902
a	0.020908033	0.012396818	0.9666694	2.5822195e-05
m	0.0012866275	0.0005615014	0.8853414	0.11281042
è	0.003796368	0.0037828877	0.9923665	5.434785e-05
n	0.0023250072	0.017109446	0.6896013	0.29096428
a	0.005914222	0.06298323	0.5367703	0.39433226
</S>	0.00060718966	0.0009142294	0.10877535	0.8897033
