 	non	aveva	da	stare	</S>
e	0.9714585	0.027508738	0.00043593126	0.000595276	1.572389e-06
n	0.95478684	0.041192047	0.0019987877	0.0005182419	0.0015041066
ì	0.013637771	0.9159268	0.044379417	0.026037911	1.8119003e-05
c	0.011781671	0.93970656	0.022926958	0.005091201	0.020493722
h	0.0072168587	0.99089116	0.0015870186	9.001591e-05	0.00021503723
e	0.005114693	0.9848103	0.007644028	0.0023812663	4.9615846e-05
n	0.0046092947	0.030687718	0.610826	0.34951684	0.0043600947
a	0.023176676	0.03020866	0.58469695	0.3619003	1.7339376e-05
s	0.0008843502	0.0001786331	0.04248028	0.94314194	0.0133148115
t	0.0059107495	0.0036035061	0.13160409	0.85887057	1.1104539e-05
a	0.0064540775	0.011395823	0.06339009	0.91873556	2.441866e-05
s	0.00022789843	1.9440062e-05	0.0049213646	0.95788974	0.036941595
ì	0.0026592684	0.0038875698	0.048179526	0.94522965	4.390087e-05
</S>	0.0027366586	0.016406842	0.025367886	0.22861487	0.7268737
