 	dei	genitori	</S>
à	0.99101454	0.008982849	2.644583e-06
t	0.91118294	0.01384523	0.07497181
t	0.873842	0.12220014	0.0039578197
u	0.7839058	0.21590453	0.00018970293
s	0.24167056	0.7361825	0.022146972
g	0.10836741	0.89144725	0.0001853755
e	0.5557838	0.44417316	4.301503e-05
n	0.007528824	0.980025	0.012446181
i	0.094138406	0.90582854	3.3089884e-05
t	0.0015508003	0.9740539	0.024395268
ò	0.37799034	0.62146175	0.0005479207
r	0.02942152	0.40277636	0.5678021
u	0.08607019	0.53238034	0.38154954
</S>	0.00247652	0.046812225	0.9507112
