 	dovevo	comprare	il	pane	</S>
ì	0.0021564113	0.0009896874	0.7695557	0.22723696	6.13256e-05
c	0.0025110506	0.0058452617	0.9600941	0.018804256	0.012745352
h	0.00013759067	0.00018126566	0.7282744	0.2529395	0.018467184
a	0.011616813	0.070460275	0.5917282	0.2799704	0.04622427
n	0.0010316562	0.0058439835	0.8942254	0.07518268	0.023716215
a	0.20014027	0.057273213	0.23403053	0.4009447	0.10761128
a	0.011593365	0.009874638	0.81766057	0.11147772	0.049393687
f	0.010600434	0.0022757067	0.90922034	0.07091877	0.0069847363
o	0.03487439	0.024896093	0.6281903	0.31149855	0.00054069265
r	0.003382405	0.020121496	0.6862146	0.2255652	0.064716265
à	0.0014691459	0.0019850736	0.062306527	0.9340807	0.00015859089
s	0.04067103	0.007081481	0.80033445	0.07294978	0.0789633
o	0.012008831	0.005084602	0.6351469	0.2368159	0.11094375
t	0.28523794	0.6102231	0.06495961	0.024342844	0.015236508
o	0.0057954625	0.032834157	0.03173994	0.92949325	0.00013718991
t	0.09776518	0.70889044	0.016233612	0.17034702	0.006763834
s	0.022891339	0.062194385	0.024573535	0.88999367	0.00034705302
o	0.0034970709	0.0011045741	0.008940599	0.985852	0.00060569786
m	0.13452396	0.024050564	0.007696599	0.65318197	0.18054697
ì	0.0009446765	0.0012780095	0.0057322094	0.9916147	0.0004304511
</S>	0.00044674388	0.00040371765	0.0032049634	0.18506138	0.8108832
