 	se	vieni	a	casa	mia	ogni	sabato	compra	pane	di	portare	</S>
a	0.94550455	0.017534256	0.03445682	0.001838676	0.00024217495	0.00017481194	9.978358e-05	8.63368e-05	4.1961226e-05	2.0102174e-05	2.870083e-07	2.4017976e-07
n	0.97527856	0.009910422	0.009678061	0.00079038437	0.0003570424	0.0006234075	0.0005842816	0.00050648605	0.00041135892	8.261813e-05	0.0005063487	0.0012709898
è	0.0124138035	0.009126152	0.65551853	0.31956688	0.00032317455	0.0005570446	0.0010065126	0.00071875495	0.00026473383	0.0004917697	1.0249893e-06	1.1649045e-05
r	0.016489306	0.11256029	0.2514578	0.08204421	0.013972512	0.014543351	0.03910767	0.011902959	0.031361863	0.008298523	0.14984608	0.26841542
t	0.060940254	0.018398995	0.48783997	0.40058416	0.010115394	0.00576537	0.00854375	0.0005233546	0.0028948346	0.00033682305	0.0005613239	0.0034957787
i	0.010324055	0.001072349	0.35789603	0.6008648	0.0019522596	0.0032874064	0.014760627	0.0031618176	0.004219745	0.0022976666	1.9689865e-05	0.00014352448
n	0.0062678596	0.14395058	0.3594729	0.4704575	0.015904136	0.002423981	0.00025806317	0.0003165448	0.0001697038	3.734826e-05	0.00028227823	0.00045918714
è	0.004264856	0.037292745	0.2581746	0.6754135	0.016065374	0.0039368914	0.0022799848	0.0013193651	0.00029249614	0.0009543391	2.2194558e-06	3.7039806e-06
s	0.0047395183	0.014223105	0.06389936	0.8125367	0.064840876	0.006364571	0.00278543	0.00051259267	0.0011884761	0.00028306083	0.012462181	0.016164096
s	0.0061914963	0.00067011354	0.044959743	0.9246743	0.013112037	0.0043549947	0.004293222	0.00031034398	0.0005515459	0.0002673529	7.0715316e-05	0.000544195
u	0.0017434603	0.0005595898	0.028552826	0.9496009	0.0034370623	0.0024159309	0.009419747	0.0011727889	0.001150387	0.0019097504	7.070094e-06	3.0515277e-05
m	0.00043911472	0.0070734755	0.0062141838	0.13456506	0.6942208	0.14277746	0.007578931	0.0044736913	0.0012206975	0.00041263405	0.000293576	0.0007303905
u	0.0005598042	0.0028038088	0.01727575	0.8426027	0.03529493	0.04303858	0.026793033	0.009256995	0.0026716292	0.019682882	3.6553827e-06	1.6241831e-05
k	0.00031323332	0.0022119046	0.002966489	0.06915849	0.5547343	0.325622	0.035185557	0.0062931785	0.0021549533	0.0006093711	0.00021584384	0.00053472735
u	0.00076224486	0.0017622763	0.017302614	0.6713621	0.03937409	0.12644874	0.09283233	0.025808569	0.0052491925	0.018995866	2.1145805e-05	8.079196e-05
à	0.00017789415	0.0015686735	0.0007095075	0.006085344	0.21729481	0.64937794	0.10087517	0.018075833	0.0030814707	0.00076441385	0.0006159457	0.0013729518
i	0.0065049897	0.008902125	0.004381837	0.022590617	0.18246104	0.32551047	0.39772987	0.00854653	0.008640064	0.0005169285	0.011124473	0.023091124
s	2.2108711e-06	3.589445e-05	1.6050037e-05	7.246717e-05	0.068049125	0.68246466	0.17733105	0.054592405	0.015071268	0.0005474427	0.0005816629	0.0012357713
à	0.00091691664	0.00068747596	0.0036403255	0.020286433	0.0067636506	0.12400144	0.36638004	0.4450431	0.021166453	0.010632773	0.00013330775	0.0003480608
m	0.001227283	0.00093712745	0.00026782404	0.0009352722	0.025386242	0.061318785	0.59813744	0.11759864	0.13415043	0.0019569655	0.023433065	0.034650963
b	0.0052110795	0.002492278	0.0011172657	0.002889737	0.0123029705	0.1134924	0.768664	0.07839834	0.014172791	0.000979584	2.9638479e-05	0.00024988502
a	0.00049988437	0.00062002154	0.0007424498	0.002968236	0.0046384046	0.030115006	0.77431405	0.15582263	0.01912088	0.011131889	1.961494e-06	2.4582208e-05
v	1.3001192e-05	8.975028e-06	1.1262802e-05	0.000116303614	0.009478612	0.030195922	0.06249089	0.24221525	0.5443104	0.094801806	0.0036297515	0.012727809
ò	1.4086087e-05	0.00011661333	0.0011795458	0.0060341875	0.0018686731	0.0048498916	0.006046417	0.3365624	0.32209662	0.32119355	1.3007624e-05	2.5019015e-05
r	0.00037604314	0.00036211062	4.6092642e-05	0.00019562815	0.015286938	0.01929436	0.065116055	0.042625275	0.72099274	0.06110986	0.02217956	0.052415367
a	0.018746534	0.0011932444	0.0065219863	0.008596589	0.012301549	0.019823546	0.041405868	0.26389182	0.41933984	0.057562448	0.018527372	0.13208924
s	1.5813699e-05	2.7389966e-05	6.2781815e-05	7.42903e-05	0.0014276735	0.0033285825	0.0012690364	0.04147839	0.47611	0.31457847	0.08184378	0.079783775
o	0.00011430344	0.00079962774	0.0047965175	0.006579287	0.0012819795	0.0023546696	0.0025082233	0.064966634	0.22646496	0.68968683	0.00017293805	0.0002739966
t	2.6595014e-06	2.4899491e-05	3.9789993e-05	1.8686776e-05	0.00037802418	0.00085540186	0.00023119265	0.0071292636	0.06480206	0.7904821	0.07665039	0.059385635
s	7.86049e-05	0.00069452816	0.001261378	0.0018557102	0.0007043011	0.00081342726	0.00079098693	0.042183116	0.15289468	0.7971965	0.00099376	0.00053291203
o	3.955298e-05	0.00027494773	0.0017463206	0.002763572	0.0012253503	0.0024355734	0.003901199	0.050390437	0.22021312	0.7166766	0.00024673293	8.660489e-05
m	2.8487834e-06	8.140117e-06	2.4715737e-05	2.2180839e-05	0.00054454	0.0012834279	0.00035343395	0.0048046713	0.047007043	0.7951609	0.08904398	0.061744116
ì	9.957087e-06	1.6781694e-05	0.00025739614	0.0019196194	0.0011800035	0.0012081328	0.00043244215	0.00992397	0.0632593	0.9215246	9.665676e-05	0.00017120481
n	8.9958696e-05	6.341686e-05	2.3244347e-05	4.564993e-05	0.0075613307	0.012801693	0.017656684	0.011175018	0.1265121	0.5512497	0.07898038	0.19384088
a	0.03370815	0.0008790654	0.015740985	0.020065285	0.0061891223	0.015288889	0.015696464	0.042735845	0.087231226	0.3793715	0.04868607	0.33440742
f	2.5894316e-05	8.640114e-06	4.0277042e-05	9.188382e-05	0.0005356028	0.0009933223	0.0007069576	0.0008029377	0.01318952	0.33754817	0.33518207	0.3108747
è	8.1417544e-05	0.00019276983	0.0035926036	0.0080978805	0.002493729	0.004068097	0.004137472	0.0112871835	0.03333758	0.93125445	0.0006043504	0.00085249584
r	0.00013028187	5.0265033e-05	5.105362e-05	0.00010803548	0.0039267372	0.007980714	0.004132367	0.008884206	0.045162536	0.2505534	0.15910287	0.51991755
i	0.036532905	0.0015469587	0.016665384	0.019251065	0.00840941	0.013362003	0.0141901765	0.02654917	0.07540102	0.34780693	0.09564153	0.34464344
</S>	0.00019715316	3.6048703e-05	0.00030582628	0.0007994075	0.0012315705	0.0022499477	0.0021906723	0.0013631593	0.0050773933	0.15744986	0.44646943	0.38262942
