 	ha	che	sono	usciti	</S>
è	0.54536855	0.23876406	0.03846627	0.17683248	0.00056860875
n	0.40663907	0.2813758	0.072119206	0.13754596	0.10232002
a	0.13495779	0.24303539	0.136896	0.47916925	0.0059416634
g	0.042870656	0.8742486	0.035068814	0.047459964	0.0003519061
u	0.1358157	0.7658976	0.08486494	0.013418238	3.5932358e-06
ì	0.03437072	0.626057	0.29471654	0.04161089	0.0032448652
k	0.119076066	0.095882654	0.2722646	0.45624456	0.056532178
a	0.024392763	0.17037673	0.29318237	0.51117337	0.000874758
n	0.021577971	0.7351793	0.194583	0.042793196	0.005866516
e	0.05820004	0.34085023	0.5413215	0.059447628	0.00018061505
</S>	0.017379723	0.49042434	0.07560118	0.038212877	0.37838188
