 	entrò	da	qui	</S>
m	0.99478155	0.0039020046	0.0012921786	2.4261482e-05
b	0.9925362	0.0050601093	0.0024036218	1.3384995e-07
ì	0.39019048	0.5914523	0.018355155	2.0893447e-06
k	0.063203536	0.6867792	0.24637696	0.0036403933
e	0.39617506	0.42906386	0.17317845	0.0015825978
a	0.0018458212	0.4836059	0.5106515	0.0038967687
p	0.0013577415	0.11135386	0.8841627	0.0031256985
ò	0.0043333927	0.093793176	0.90182513	4.829051e-05
t	0.002196719	0.015760042	0.9520584	0.029984955
t	0.0012275369	0.028006263	0.9644255	0.006340577
u	0.010221781	0.09915188	0.8873608	0.0032654656
</S>	0.00024972067	0.005382264	0.3659613	0.62840664
