 	vuole	pianto	</S>
e	0.9986436	0.0013541761	2.2291874e-06
t	0.9872886	0.003106102	0.009605344
è	0.9609797	0.03894173	7.860607e-05
l	0.9832982	0.003251513	0.013450272
i	0.9618097	0.03229939	0.0058909524
k	0.06495524	0.8558875	0.07915737
l	0.030323436	0.96942455	0.00025207622
a	0.02386556	0.9761061	2.8396174e-05
m	0.0010556738	0.94470936	0.05423496
m	0.002249462	0.99769837	5.224482e-05
è	0.025649445	0.97429276	5.784385e-05
n	0.0015823456	0.94672024	0.05169735
o	0.2490373	0.49167806	0.25928462
</S>	0.0003894128	0.022787102	0.97682345
