 	Valeria	legge	il	giornale	</S>
e	0.95914936	0.040071603	0.00042145938	0.00035721852	3.8844487e-07
V	0.59069806	0.34149674	0.03457247	0.028380396	0.0048522996
a	0.28691527	0.65118027	0.0189139	0.008160471	0.03483009
l	0.61623234	0.21667136	0.11012229	0.040792488	0.01618156
è	0.30636197	0.08844117	0.101253256	0.50216365	0.0017799604
r	0.20355721	0.6935537	0.03674375	0.015492351	0.050652944
i	0.3621591	0.05263199	0.25810492	0.25359017	0.07351382
a	0.0028347562	0.005628982	0.67117816	0.2509981	0.06935996
m	0.00058396766	0.006734712	0.8212015	0.16058446	0.010895307
e	0.14098331	0.013746859	0.26331943	0.58138794	0.0005624924
l	0.00012571132	0.00042017718	0.52407026	0.45630345	0.019080376
e	0.15468824	0.22292383	0.084821835	0.5360926	0.0014735714
t	2.2983055e-05	9.479694e-05	0.18908343	0.74587786	0.06492086
à	0.02518793	0.1876361	0.08620381	0.69866025	0.0023119287
o	0.002263564	0.007985352	0.3302438	0.5799127	0.07959456
g	4.5223405e-05	0.0003594684	0.22017737	0.64549893	0.13391903
i	0.022900382	0.08635437	0.020193238	0.8694327	0.0011193462
o	4.5459997e-06	7.983383e-05	0.008501494	0.79883504	0.1925791
r	1.8319563e-05	0.00022077905	0.035923373	0.6999326	0.2639049
n	0.04666928	0.78951895	0.008936077	0.15260501	0.0022708022
à	0.109625675	0.66594744	0.047969706	0.17544734	0.0010098622
l	0.00021207018	0.0003873871	0.30882046	0.44020048	0.25037956
e	0.016930558	0.05564382	0.08434327	0.566372	0.2767103
</S>	6.319047e-05	0.0017584701	0.008692313	0.07987632	0.9096097
