 	non	li	aspettiamo	più	</S>
e	0.9634707	0.03613303	9.371335e-06	0.0003862798	5.512994e-07
t	0.8998983	0.08840615	0.0028201693	0.004972929	0.0039024744
u	0.012947112	0.9590312	0.00025592902	0.027735168	3.0540195e-05
s	0.0957097	0.8832571	0.006755022	0.004004165	0.010274028
m	0.008343618	0.97204673	0.0002876538	0.019303435	1.8553515e-05
è	0.018958317	0.9781772	0.00010387448	0.002759236	1.3062905e-06
n	0.017134007	0.8258115	0.07239541	0.050095472	0.034563534
u	0.026025562	0.7034083	0.06776443	0.18997358	0.0128281275
m	0.0014312905	0.0024922057	0.6762696	0.30446473	0.015342251
e	0.04357434	0.30109334	0.008205706	0.6470685	5.8109417e-05
p	0.0002381727	0.00046210433	0.08108718	0.90654683	0.011665685
l	0.00991636	0.13152918	0.0067192083	0.8515686	0.00026665005
è	0.022276029	0.15311836	0.0053343903	0.8191604	0.000110849935
o	0.020481862	0.042682726	0.081685536	0.6240951	0.23105486
</S>	7.860756e-05	0.00019832305	0.1604379	0.7634894	0.0757958
