 	non	deve	magniare	la	sera	</S>
e	0.9953702	0.0042111953	1.2854583e-05	0.00013496555	0.00027045974	4.6056945e-07
n	0.9271021	0.015950562	0.006056507	0.018059779	0.030515417	0.0023155282
è	0.022062449	0.94972074	0.00067081477	0.005307151	0.022197902	4.087659e-05
n	0.033947203	0.6185561	0.080055274	0.072100855	0.08787171	0.10746884
a	0.047566578	0.8344657	0.027375404	0.07666683	0.007419216	0.00650631
f	0.01367251	0.075529896	0.4754291	0.14688256	0.27027497	0.018211024
à	0.15217343	0.3270633	0.034387898	0.24765049	0.2383922	0.00033264732
i	0.004507397	0.027244862	0.4195728	0.24641326	0.26406953	0.03819212
t	5.6346038e-05	0.00018914742	0.44408596	0.44231033	0.10906275	0.0042954776
o	0.028194597	0.029818589	0.016135242	0.56294465	0.36270815	0.00019872311
v	4.277757e-05	4.3737047e-05	0.010089146	0.21180718	0.77754164	0.00047554937
r	0.012636588	0.027698385	0.009063672	0.5315874	0.4185294	0.0004846072
à	0.008921148	0.014524655	0.0013737569	0.09235766	0.8824844	0.0003384179
i	0.001566916	0.014357053	0.1884541	0.47462997	0.20697811	0.11401392
</S>	2.8693685e-05	0.0003084944	0.01872154	0.40370962	0.55371124	0.023520442
