 	voglio	che	Maria	venga	domani	</S>
i	0.9890205	0.01052836	0.00038851178	4.167922e-05	2.0886138e-05	2.1117154e-08
t	0.8935932	0.038569976	0.04876288	0.009587092	0.009180781	0.00030590172
è	0.8838675	0.11555846	0.00029235397	4.7654703e-05	0.00023328014	7.417796e-07
l	0.95429313	0.023540309	0.0031613149	0.0045854407	0.012424039	0.0019957777
o	0.8449876	0.09216459	0.00096614833	0.00450184	0.056914974	0.00046501268
n	0.019843437	0.7950474	0.11218025	0.02804672	0.044709623	0.00017252998
a	0.0047533195	0.98171484	0.010612226	0.00089927675	0.0020146908	5.7281945e-06
r	0.00018327031	0.017996892	0.9439204	0.026814371	0.01104852	3.659681e-05
t	0.029644616	0.94988465	0.010983382	0.0023149543	0.007139659	3.2712032e-05
i	0.035032574	0.94272983	0.0066560614	0.0023223285	0.013256663	2.4679186e-06
à	0.0006249034	0.18276913	0.62886506	0.1557771	0.031467117	0.0004967045
v	0.0069881654	0.0019180242	0.1009968	0.21470778	0.66935825	0.00603097
v	0.007428912	0.11803953	0.035213303	0.031532776	0.8068824	0.00090310664
r	0.078755215	0.32362917	0.01071384	0.068160206	0.51853234	0.00020920989
i	0.035662208	0.8787263	0.0524423	0.008042871	0.02498481	0.00014148926
i	0.0014585594	0.020776723	0.31524903	0.50721645	0.02906949	0.12622973
M	2.4108513e-05	0.00059562793	0.13754314	0.5108993	0.3478951	0.003042691
a	0.4209375	0.529265	0.013689651	0.01065342	0.023984123	0.0014703283
r	0.00015028812	0.0021126873	0.31193644	0.59377307	0.040005866	0.052021693
ì	0.3315061	0.64580107	0.012661909	0.0016339998	0.007663923	0.0007330125
a	0.00018272118	0.0014594543	0.13866998	0.36649904	0.38994837	0.103240475
</S>	0.00032095273	0.00091968756	0.021473324	0.07529795	0.04768919	0.85429895
