 	da	da	un	famoso	poeta	</S>
p	0.98426753	0.01554716	0.00013545492	3.5412646e-05	1.4292293e-05	9.4978375e-08
u	0.8371842	0.15667672	0.0028139695	0.0021785605	0.0011450738	1.516368e-06
s	0.4707874	0.5038342	0.008716526	0.0033394154	0.0015937227	0.011728818
s	0.116842	0.8687885	0.011121356	0.0022252002	0.0010199725	3.0366955e-06
è	0.30291632	0.6954472	0.0010814243	0.0004288679	0.0001246084	1.6789832e-06
n	0.06397312	0.5467467	0.28525636	0.047516264	0.004755489	0.051752076
a	0.019327449	0.52198076	0.41302314	0.03731707	0.008023792	0.00032786152
f	0.0014637738	0.038673475	0.7961016	0.15338507	0.003345701	0.0070303674
a	0.10001273	0.28111365	0.34476152	0.23916854	0.034889784	5.3647098e-05
m	0.0010170073	0.009768302	0.48634174	0.481412	0.014390547	0.007070388
ò	0.059447307	0.22210562	0.2285131	0.44809997	0.041790556	4.3365566e-05
s	0.0009795519	0.0055522425	0.10255211	0.8706677	0.0113816345	0.008866825
o	0.0014037265	0.0082785	0.17503697	0.78983086	0.022906292	0.0025437144
p	8.866296e-05	0.00024046288	0.014196048	0.82435316	0.12830107	0.03282063
o	0.04503528	0.06751994	0.021497497	0.7267238	0.13903828	0.00018517938
è	3.3427405e-05	8.382645e-05	0.0028722596	0.06991153	0.89792717	0.029171757
t	0.0001490597	0.0018012667	0.104080744	0.2322	0.5315	0.13026893
a	0.00043253918	0.0011880765	0.0079755355	0.101597734	0.8860316	0.0027744684
</S>	5.149059e-05	9.03913e-05	0.00047164276	0.002761222	0.42471784	0.57190746
