 	il	morto	si	piange	</S>
o	0.99890184	0.0010162886	5.3393473e-05	2.8295844e-05	8.211575e-08
a	0.66191083	0.030773524	0.23326541	0.012842586	0.06120767
p	0.85501415	0.060678545	0.065890126	0.011968723	0.006448473
e	0.1371551	0.8353401	0.0086744735	0.018085519	0.00074487063
t	0.13697623	0.6898496	0.07048219	0.06589504	0.036796957
a	0.12193273	0.86909217	0.005202321	0.0035086176	0.00026406618
m	0.03652588	0.74296236	0.16154306	0.04177177	0.017196972
m	0.018126663	0.97648376	0.0024650062	0.0028324358	9.213915e-05
è	0.2192363	0.76683974	0.008048123	0.0058587645	1.7057213e-05
n	0.010697083	0.9033841	0.030620221	0.036922492	0.01837612
o	0.026894443	0.404338	0.4349305	0.09401566	0.039821435
i	0.00018170863	0.002809143	0.7722426	0.213701	0.011065546
k	9.968823e-05	0.0012151487	0.7766595	0.2191747	0.0028511032
l	0.070230536	0.018370891	0.33124182	0.5724251	0.007731627
è	0.27357188	0.058547042	0.035453424	0.62988317	0.002544441
e	0.012225154	0.16564228	0.07072228	0.5110644	0.24034587
t	0.0003925042	0.0012013864	0.33814368	0.63543016	0.024832357
e	0.10818717	0.008690999	0.07400676	0.8024977	0.00661739
</S>	0.00089592114	0.0020379424	0.06073048	0.6095152	0.32682046
