 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.92255193	0.07116359	0.005702599	0.00032881662	2.5077054e-06	0.0001278931	7.8514e-05	3.308005e-07	2.1013066e-05	1.512063e-05	7.557385e-06	7.7418655e-08
n	0.88488203	0.08688843	0.006981255	0.0013265844	0.0012412517	0.009898061	0.0021534923	0.0023812095	0.00073775015	0.0017633148	0.00012342053	0.0016231517
è	0.02921134	0.5131752	0.37207222	0.0748229	0.00011427342	0.0011184233	0.001990315	0.00012596406	0.0016957083	0.00082134415	0.0047829673	6.94216e-05
n	0.054251477	0.46496874	0.19032326	0.019557603	0.032472055	0.065687746	0.011695272	0.07645774	0.0069249584	0.010041428	0.0036913725	0.06392828
a	0.024193782	0.27375984	0.44017798	0.034934565	0.01900335	0.10035645	0.025267664	0.04397829	0.014014076	0.014569332	0.0031816442	0.006563043
l	0.013513225	0.12381928	0.7559279	0.07207307	0.0060373964	0.016875792	0.0032182545	0.0047305753	0.0004714155	0.00097567507	0.00017411968	0.0021832744
l	0.012897687	0.018864553	0.546703	0.39754945	0.00013562149	0.002013332	0.005153909	5.662172e-05	0.004583789	0.0015901908	0.010394653	5.7197067e-05
i	0.054890335	0.049805645	0.58504146	0.26547828	0.00012570436	0.002483196	0.011836671	4.6020028e-05	0.008702481	0.0019390841	0.019600423	5.0688795e-05
m	0.0028433544	0.008398678	0.5562539	0.37888098	0.015349041	0.018879823	0.00905476	0.004592551	0.0015287254	0.0023259248	0.0008999731	0.0009922261
o	0.0062496923	0.009490281	0.3165158	0.6514941	0.0001443335	0.0009082323	0.0032780021	1.6133406e-05	0.0050203274	0.0009795397	0.0058878637	1.5673104e-05
n	0.0010736962	0.003017124	0.21813653	0.7085386	0.040508103	0.018622376	0.005062335	0.0020699166	0.0007071321	0.000722176	0.0011081378	0.0004339209
ì	0.0040674354	0.0040368102	0.08459944	0.899062	0.002385082	0.0021316626	0.0013564785	9.989838e-05	0.000889066	0.00048529648	0.0008199495	6.69311e-05
s	0.002425966	0.007862767	0.062116478	0.31760466	0.40072426	0.13441223	0.007873075	0.041971117	0.0029833873	0.0027592534	0.002118282	0.017148573
u	0.0035261982	0.0042049116	0.056626625	0.33362156	0.38925758	0.10405232	0.015711723	0.06071449	0.011124292	0.008143901	0.0022571757	0.010759221
m	1.9592015e-05	4.4251487e-05	0.00051942054	0.018279428	0.66508025	0.26977307	0.020631647	0.019293653	0.0018247813	0.0022198926	0.0009568108	0.0013572029
e	0.0016602798	0.0077833533	0.05625229	0.6540666	0.0050037475	0.052215587	0.066951446	0.00022462955	0.063752346	0.011872691	0.08006347	0.00015355482
m	8.936735e-06	2.0691246e-05	0.00024073894	0.005070098	0.45271534	0.45134062	0.070287615	0.011643041	0.004543347	0.0019289464	0.0016341251	0.00056658185
a	0.0013441223	0.008235366	0.049214724	0.4816615	0.0032730072	0.09232382	0.10725348	0.00027644052	0.14140283	0.01177899	0.10309421	0.00014152456
i	4.4480316e-06	1.2052805e-05	0.00014393033	0.0019628333	0.1739052	0.5717444	0.22058313	0.014786804	0.011201185	0.0027904564	0.0022774434	0.0005880934
t	4.537822e-06	1.3715247e-05	6.386396e-05	0.00075447245	0.21270972	0.53630733	0.15988116	0.06768491	0.014901504	0.0057898215	0.0010813006	0.00080759835
u	0.003553126	0.006280663	0.016936716	0.09631186	0.0071742744	0.30060467	0.40307912	0.028167797	0.11089128	0.009494668	0.016936958	0.0005688673
s	5.624201e-06	1.6573462e-05	6.558245e-05	0.00039711155	0.029426234	0.27124274	0.40470433	0.23246975	0.04596872	0.013064328	0.00180251	0.00083652156
t	0.0034526065	0.0070161857	0.010787837	0.03606682	0.0024932928	0.102338485	0.45968753	0.037881132	0.2749536	0.02396712	0.04027925	0.0010760408
a	0.0044675916	0.010376699	0.03893462	0.13286532	0.0019465451	0.06841944	0.4145808	0.011603821	0.25573367	0.017107617	0.043309957	0.0006540094
c	2.3508162e-06	8.231386e-06	2.7186734e-05	0.00013801653	0.03458094	0.09123724	0.5163591	0.19925992	0.12508123	0.025105583	0.005205499	0.0029947108
i	2.3317683e-05	0.00023077906	0.0014598015	0.0059400015	0.0010433089	0.07547833	0.4244764	0.013524146	0.4409329	0.025620814	0.011179122	9.109204e-05
