 	è	che	sono	usciti	</S>
è	0.3184771	0.42072228	0.062452417	0.19726878	0.0010794571
n	0.2542814	0.42179194	0.07450589	0.14467506	0.10474576
a	0.017399289	0.26720273	0.16000906	0.5490268	0.0063620955
g	0.011932956	0.90786606	0.041293483	0.038637403	0.00027012726
u	0.06342459	0.82137376	0.10274366	0.012455023	2.9783735e-06
ì	0.019046865	0.57585955	0.35980105	0.040873334	0.0044191754
k	0.049283065	0.106370784	0.29687282	0.4893642	0.058109142
a	0.00942381	0.14648545	0.37663996	0.46663305	0.00081773294
n	0.013321422	0.7506712	0.17709911	0.049916357	0.008991896
e	0.10573296	0.34149185	0.49017316	0.062376436	0.00022570166
</S>	0.014513165	0.46272242	0.06830519	0.044568263	0.40989092
