 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.00010340944	4.8008013e-05	0.22629444	0.7505626	0.022190025	0.00079533923	6.1559176e-06
c	0.0012390733	0.0005990668	0.90393263	0.050649673	0.02930534	0.0066045164	0.007669711
h	1.9385117e-05	6.215525e-05	0.64028305	0.29879242	0.041369893	0.016442394	0.0030307628
a	0.0025687206	0.037978914	0.48609114	0.18887538	0.1319355	0.1389786	0.013571758
n	0.0005744649	0.0007666749	0.58457726	0.18822633	0.19138932	0.025661407	0.008804615
a	0.03749714	0.007457805	0.15995964	0.10628187	0.28696817	0.38501462	0.016820708
v	0.0024626697	0.0008093217	0.47851756	0.2279922	0.24374077	0.03476833	0.0117091015
o	0.012988745	0.0144500295	0.4418284	0.34155923	0.09816475	0.090353265	0.00065563945
r	0.0038008844	0.0016013419	0.77194804	0.11902059	0.06746286	0.014734526	0.02143174
à	0.0006925812	0.0023222724	0.06980172	0.8263298	0.07359991	0.027162688	9.099628e-05
s	0.0102889305	0.00027635557	0.8405052	0.07780214	0.026646312	0.0071849306	0.03729613
o	0.0011685748	0.00045351224	0.48145074	0.4147607	0.019386873	0.032500945	0.05027862
t	0.39580652	0.2099354	0.15739697	0.15772079	0.028748548	0.019849839	0.030541895
o	0.008386386	0.028784372	0.04452033	0.9087402	0.008233674	0.0012052733	0.00012973847
t	0.17058553	0.70998716	0.016754722	0.075129144	0.012334851	0.008837761	0.006370769
s	0.031076225	0.082698934	0.024691729	0.8309267	0.028228708	0.0021474785	0.00023034083
o	0.0027102812	0.0010363578	0.009472151	0.97533333	0.008734164	0.0021825188	0.0005311918
m	0.11483531	0.01288849	0.0062246174	0.19239421	0.20559229	0.17491977	0.29314536
ì	0.00053487415	0.000998539	0.004423186	0.91510636	0.07441284	0.0042274576	0.00029673145
k	0.0008227584	0.00085931405	0.006554146	0.030970568	0.65747213	0.09792682	0.20539416
à	0.0001285003	0.0020416824	0.014920839	0.56562704	0.35342255	0.031197311	0.03266196
i	0.00061431754	0.00079604203	0.0011517894	0.003521178	0.3847806	0.24929301	0.35984302
m	0.0026915777	0.00013382339	8.356467e-06	0.0003682831	0.16975552	0.6844541	0.14258835
è	7.4115844e-05	6.403694e-06	3.1345726e-06	0.0010332846	0.82344073	0.17487513	0.0005672022
r	0.0006915823	0.0016427891	0.00044989074	0.0009651879	0.025652895	0.5404405	0.43015718
i	0.0031527479	0.0013064175	0.007777876	0.040431578	0.19126222	0.5426939	0.21337526
</S>	0.00066303095	8.542002e-06	1.044101e-06	2.81107e-06	0.0016403578	0.60452676	0.39315742
