 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.90126437	0.09633236	0.0011261265	0.0007192083	0.00010730608	0.0004023619	4.772958e-05	4.777138e-07
n	0.9440501	0.013189606	0.003742533	0.004817723	0.021628158	0.005390844	0.0009825816	0.006198507
k	0.2707992	0.71667004	0.00096916774	0.0014674691	0.00010659182	0.0003943377	0.009583987	9.131418e-06
ò	0.52688444	0.4466666	0.0034517625	0.007526254	0.00051551004	0.0011829431	0.013746035	2.6464017e-05
r	0.023486322	0.41391245	0.10550487	0.020856727	0.008457687	0.031168826	0.032149892	0.36446327
a	0.059754856	0.8216078	0.07605449	0.015891628	0.001655153	0.005750047	0.01716837	0.0021175856
s	0.06737848	0.6914872	0.16657674	0.030226976	0.026003787	0.005581442	0.0037011632	0.009044238
t	0.07207557	0.8207009	0.060395774	0.023875866	0.00052139384	0.002046554	0.020350525	3.3471275e-05
e	0.11102016	0.78112775	0.011243734	0.024914099	0.00030831623	0.0034782102	0.06784203	6.570757e-05
m	0.013287548	0.07024871	0.7961804	0.087533385	0.021526638	0.0032464736	0.0068077412	0.0011689691
a	0.059610635	0.46258658	0.12813167	0.15187278	0.0006659629	0.0033784898	0.19367963	7.42064e-05
r	0.0033640573	0.018693376	0.7707064	0.16908857	0.024262862	0.0033194802	0.00995762	0.00060763885
è	0.1434732	0.23611705	0.071117505	0.34897634	0.006694006	0.011484473	0.17977917	0.002358247
o	0.0049687866	0.015791733	0.3930974	0.4214904	0.023603063	0.0650165	0.05726048	0.018771663
c	1.208465e-05	6.523051e-05	0.35147166	0.524557	0.10008023	0.017281186	0.00400277	0.0025298488
e	0.0035909154	0.011685138	0.05226692	0.83337677	0.009184216	0.039566446	0.050258137	7.154701e-05
e	0.00014316045	0.00021114909	0.08128774	0.36740047	0.40523657	0.062101793	0.080533095	0.0030860482
n	2.2158483e-05	2.1071828e-05	0.025572883	0.12503998	0.7340742	0.09535847	0.016443195	0.0034681393
ì	0.023373187	0.023473484	0.0008571819	0.06274035	0.06461759	0.23837194	0.5861905	0.0003757604
n	0.00016679514	0.00016409463	0.06683065	0.049542177	0.11006323	0.57254535	0.17857973	0.022107976
e	0.0032916546	0.0030704397	0.017532177	0.046406824	0.07169734	0.6632688	0.17503268	0.019700078
p	1.1562616e-05	3.2541207e-05	0.0046446505	0.0056106853	0.5758979	0.29133278	0.098513044	0.023956928
r	0.0047492124	0.03465129	0.00039967423	0.0069646714	0.0059478665	0.1386578	0.8083276	0.0003018862
ò	0.00200113	0.0066770334	0.0013825131	0.018887552	0.0010561307	0.035074282	0.9348724	4.8933587e-05
n	3.270935e-05	2.058535e-05	0.055664368	0.015681202	0.024861436	0.055808406	0.83639693	0.011534382
t	0.0027496752	0.0026337109	0.010701917	0.01142791	0.009633329	0.1704418	0.75346744	0.03894424
o	0.009529287	0.017347114	0.0056897798	0.007571545	0.0012629974	0.03585439	0.9200367	0.0027081678
</S>	7.696864e-05	0.00032261497	0.002233438	0.0014034808	0.084900275	0.0054624192	0.3730009	0.5325999
