 	l	ho	sentito	che	veniva	</S>
o	0.99967694	0.00013977912	1.3421118e-05	7.3760064e-05	9.5872005e-05	2.1206199e-07
n	0.9749693	0.0058259927	0.0030107775	0.0067902454	0.0052812304	0.00412229
ì	0.87513095	0.042178575	0.0024178755	0.035970163	0.04415882	0.00014355546
k	0.14801574	0.358641	0.10389671	0.04731724	0.029777218	0.31235212
u	0.8946793	0.08261988	0.0013047634	0.0037305937	0.002551008	0.015114382
s	0.019840864	0.66736203	0.17874265	0.11222238	0.010086596	0.011745398
a	0.05417335	0.18318221	0.06402446	0.63926995	0.059329845	2.0169768e-05
k	0.0038029295	0.012442367	0.104892865	0.6179841	0.2583771	0.0025006514
a	0.03029379	0.024867974	0.017659599	0.69807214	0.22907935	2.7241955e-05
è	0.00039753897	0.0010005147	0.0077106697	0.123422496	0.8624809	0.004987854
r	0.021012317	0.05527309	0.02521077	0.05224078	0.4861836	0.36007944
k	0.0007989178	0.0075937915	0.022838773	0.25266802	0.7107346	0.005365863
a	0.002848414	0.0020769997	0.007898351	0.03897795	0.94698906	0.0012092374
t	0.00013305583	7.953382e-05	0.00077451696	0.0059118383	0.9426725	0.05042859
o	0.0069440887	0.01932694	0.015682003	0.080421016	0.87730217	0.00032378695
</S>	6.4886546e-05	7.8131416e-05	0.004002828	0.006812076	0.7467642	0.24227796
