 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
e	0.9091414	0.077170454	0.009349632	0.0012410069	0.000617668	0.00030074586	0.0008680189	0.0005663426	5.140721e-05	0.00031949446	0.000121099765	7.139118e-05	0.00013500382	4.4450553e-05	1.7649494e-06
v	0.99189246	0.004240457	0.0010107899	0.00065900054	0.0003064453	0.00012909305	0.00023462075	0.00042214704	7.6112694e-05	0.0004471097	5.771879e-05	0.000108917906	0.00016903886	3.8019112e-05	0.00020811714
ò	0.32324836	0.58318865	0.0075645098	0.021337952	0.00011108318	0.02817026	0.0017344876	0.026301755	0.00012019481	0.0009993226	0.0019856323	0.0010807872	0.0015735846	0.0025657546	1.7708728e-05
s	0.15860666	0.65513587	0.060260985	0.014637901	0.01299819	0.004124274	0.008620419	0.01789343	0.0072459616	0.010999905	0.0020870676	0.0052368823	0.00563216	0.0028300572	0.03369024
t	0.05039348	0.7723133	0.092586905	0.005846493	0.008882647	0.005488225	0.0148944445	0.0044528535	0.0033469575	0.027580647	0.00046989426	0.0039241766	0.0044080494	0.00039225284	0.0050197276
o	0.045099754	0.6312448	0.03416088	0.051941145	0.001155473	0.10719955	0.010899714	0.07110652	0.0022880503	0.01355113	0.0045313356	0.0082631735	0.011033636	0.007024008	0.0005009132
d	0.0073485374	0.4129774	0.46945542	0.09183627	0.0054002022	0.004213311	0.0016029999	0.005175413	0.00027744172	0.0007770553	0.00014210706	0.000101317775	0.00020083759	8.2218205e-05	0.00040946703
e	0.14045803	0.28436255	0.08625076	0.23506282	0.00051818526	0.13059033	0.006246959	0.0733261	0.00015715715	0.0016312274	0.010583422	0.0015294924	0.00177164	0.027414758	9.6655e-05
r	0.0013771955	0.062028762	0.67454505	0.23059937	0.014840394	0.008136318	0.0012798118	0.005651153	0.00017834679	0.00065507245	0.000111939466	7.584872e-05	0.00013914588	7.092833e-05	0.0003105983
f	0.0952649	0.068524	0.057021655	0.42510393	0.0006972182	0.2228774	0.0055505103	0.08688407	0.00023403134	0.0019272799	0.008173698	0.0019691964	0.0023566305	0.023253476	0.00016211404
ò	0.15408254	0.28725445	0.053240865	0.21035334	0.0013766185	0.20904386	0.008046897	0.049695946	0.0006643631	0.0021620865	0.008509908	0.0014040711	0.002151855	0.011872282	0.00014089247
m	0.034980938	0.3369168	0.35877478	0.06176393	0.015152244	0.01837076	0.016609488	0.033194978	0.01035816	0.026583165	0.0016129259	0.018572655	0.0064666728	0.006228399	0.054414056
u	0.0525365	0.16045061	0.2735466	0.38731557	0.012681478	0.068915755	0.009044725	0.00471312	0.0016044837	0.017294696	0.00042464785	0.005688953	0.001419298	0.0002976303	0.00406589
e	1.3898233e-05	0.0008438537	0.27856407	0.4438186	0.16067025	0.09024128	0.00903824	0.012833623	0.0005787373	0.0016844729	0.00042762628	0.00020447062	0.0003793324	0.0002320392	0.00046952974
n	4.4531853e-06	4.71684e-05	0.047368485	0.3847505	0.37497208	0.1529091	0.020696858	0.014258154	0.000615623	0.002996534	0.00024306103	0.00031960802	0.0005857908	6.828276e-05	0.00016432645
t	0.0018332042	0.0006308554	0.002754591	0.10010062	0.007814181	0.85337937	0.0079014525	0.023226097	5.277873e-05	0.0001748891	0.00062598725	9.208944e-05	7.6970035e-05	0.0013220782	1.4865175e-05
u	0.0023532805	0.008739505	0.007898196	0.088053666	0.002789741	0.8160648	0.007791765	0.057265334	0.00017739412	0.0009951264	0.001920743	0.0006104722	0.0006687178	0.004616204	5.5110744e-05
t	2.4317246e-06	4.205623e-05	0.01463001	0.058125306	0.24371496	0.6104603	0.04273019	0.023698663	0.0015519775	0.0027419685	0.0009249979	0.00032809912	0.0005371873	0.00032732516	0.00018452751
ò	0.0025774676	0.0016112684	0.0012090283	0.0228712	0.0023752581	0.8334296	0.0246537	0.105195686	0.00013538646	0.00084000657	0.001429322	0.00039844814	0.00036261717	0.0028773453	3.3577297e-05
g	0.00031438223	0.0025489782	0.047515802	0.0116042	0.16328715	0.18063797	0.281481	0.20586462	0.021929327	0.04920721	0.0004571705	0.006001517	0.0021546504	0.00067684345	0.026319219
r	0.0016513339	0.0016484025	0.009697415	0.06420885	0.059933823	0.68233424	0.120494634	0.017842913	0.006072763	0.026094105	0.0005381319	0.0059526106	0.000993848	0.00021850773	0.0023185182
a	0.0023300753	0.01572025	0.011251385	0.0454815	0.0031660444	0.4921929	0.09122749	0.21847011	0.014579939	0.041679528	0.0036407325	0.02196269	0.010629217	0.018687744	0.00898047
z	9.2980673e-07	1.1346772e-05	0.00068237004	0.0023605714	0.07527254	0.052895375	0.48414862	0.26436818	0.062449977	0.032018878	0.016902765	0.002120736	0.002418206	0.0032007685	0.0011487266
z	0.0024912	0.0052951886	0.0015624719	0.016939402	0.0014406277	0.054113835	0.2110143	0.6249447	0.0013771511	0.010897606	0.037802916	0.0031209334	0.0020288867	0.02691628	5.4543892e-05
a	0.000426946	0.005682519	0.007166463	0.0213499	0.0012097697	0.06653991	0.13532986	0.6629747	0.0011899264	0.009650945	0.034317728	0.006280816	0.0057025626	0.04214974	2.8206237e-05
m	4.2444768e-07	1.2047253e-05	0.00079191016	0.0020392567	0.023739854	0.02419015	0.47183105	0.20304778	0.16743848	0.05624491	0.032386515	0.0057004266	0.005518566	0.005268909	0.001789723
à	0.00010828261	0.003393239	0.0022792018	0.008541689	0.000272067	0.035331294	0.24414214	0.60607904	0.0019033764	0.012994187	0.047389366	0.005324571	0.003173261	0.029053032	1.52564735e-05
i	9.235889e-07	1.5500687e-05	0.003065879	0.0019605642	0.015858715	0.0154312635	0.25094983	0.2323091	0.16383259	0.2687508	0.010809796	0.025895964	0.0058423416	0.0018662189	0.0034105172
è	1.7665943e-07	3.5723692e-06	8.276787e-05	7.099699e-05	0.006297227	0.0012938259	0.10720232	0.06849965	0.37184924	0.32687488	0.06947227	0.027766457	0.015529783	0.003342305	0.0017145429
n	6.4234865e-07	6.004614e-06	0.0017249697	0.00088551815	0.015436149	0.0015508169	0.021471784	0.03159935	0.12575966	0.6721602	0.011041301	0.09600908	0.013350098	0.0011352345	0.0078692045
a	0.0012143727	0.002500713	0.0004769409	0.002508392	0.00046533	0.005137838	0.030115131	0.07161698	0.15208408	0.41753882	0.04789711	0.23616853	0.016380202	0.011471444	0.0044241543
n	3.959527e-07	5.282149e-06	5.4591364e-05	6.8183e-05	0.0013610485	0.00035627338	0.007070815	0.0063547613	0.31493804	0.22445916	0.29072142	0.072647646	0.06640247	0.012731146	0.002828759
g	0.0007054863	0.0038725778	0.0007985833	0.002697129	0.0004002331	0.0022467803	0.0113688605	0.057939257	0.011423702	0.08555244	0.60741746	0.07852695	0.028308092	0.10860836	0.00013405223
r	0.0003075204	0.0045341356	0.0027602871	0.0034172256	0.0012968444	0.0030067286	0.0138034765	0.13624036	0.006563148	0.08872908	0.31441835	0.2167155	0.07252818	0.13562123	5.7921337e-05
à	0.001196891	0.0068127136	0.0029597215	0.004898084	0.00061961496	0.005621473	0.00804545	0.13728458	0.0018168545	0.012253381	0.3929784	0.10255814	0.05285347	0.27006975	3.1472795e-05
