 	vuole	vuole	mangiato	caldo	</S>
t	0.9617496	0.038062066	0.00013831796	4.9917704e-05	1.9310326e-07
è	0.78834456	0.19087146	0.010257163	0.010435993	9.090653e-05
l	0.8928538	0.087684244	0.0047002775	0.0014509518	0.013310722
i	0.46339768	0.5132447	0.020275248	0.0028501712	0.00023221535
t	0.18699296	0.7829895	0.016006352	0.009409296	0.004601926
è	0.037255768	0.9174442	0.026638044	0.018622262	3.9711296e-05
l	0.069019474	0.8954983	0.01613364	0.0028245312	0.016524097
i	0.019227987	0.9134579	0.062060237	0.0039624777	0.0012914405
f	0.00025607622	0.089018285	0.7962827	0.101621985	0.012820992
a	0.01177706	0.039620835	0.487948	0.46049753	0.00015656203
m	7.912035e-05	0.0074273976	0.80737364	0.17161205	0.013507779
è	0.0063979644	0.01836357	0.500021	0.47515357	6.390183e-05
n	0.00046927962	0.022528406	0.6929553	0.23921417	0.044832796
o	0.028691238	0.045049194	0.5589462	0.3392871	0.02802623
t	1.1947715e-05	0.000114958755	0.034320462	0.91866386	0.04688875
r	0.0006927457	0.00047101834	0.029818447	0.96874946	0.00026827658
e	0.021865545	0.016972499	0.085061334	0.8759929	0.00010774433
m	5.171189e-06	2.9852168e-05	0.0051313653	0.9036222	0.091211356
m	0.0009688979	0.0006872265	0.010642993	0.9876579	4.2948093e-05
ò	0.0029176748	0.017811533	0.17450352	0.8041636	0.00060378097
</S>	0.00019213375	0.0024051503	0.12547779	0.52337694	0.34854805
