 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.9885211	0.010882914	0.00041909117	4.172358e-05	4.8845908e-05	2.9543478e-05	5.6189565e-05	5.5408026e-07
t	0.9851542	0.007608261	0.005681443	9.477135e-05	9.814079e-05	9.803302e-05	0.00014319301	0.0011219073
e	0.7828796	0.023292448	0.17626376	0.006033463	0.0029133032	0.0036244818	0.0034835916	0.0015094046
l	0.7874719	0.17266059	0.039017834	0.00016006785	6.6484834e-05	4.2534266e-05	7.1241746e-05	0.0005093742
a	0.3364251	0.061560526	0.13817199	0.1552976	0.07153292	0.06778539	0.16785896	0.0013675014
e	0.021403866	0.9339766	0.04310494	0.0005640076	0.00017405965	6.058393e-05	6.055505e-05	0.0006554237
M	0.00052734575	0.8068652	0.18688366	0.0041642296	0.00070663635	0.00046355693	0.00016479257	0.00022463399
a	0.33353084	0.047854815	0.14215565	0.22671932	0.0713698	0.06699625	0.10892293	0.0024504245
r	0.00031498034	0.89444196	0.101269834	0.0028271838	0.0006032116	0.00012611992	6.0669307e-05	0.00035605475
ì	0.7048609	0.02367325	0.04862761	0.1323979	0.02609074	0.02024444	0.042187124	0.0019179255
a	0.0043388815	0.075832106	0.9008399	0.013028753	0.00037455896	0.00029977292	0.00028501087	0.005001064
à	0.0008476703	0.02112521	0.17183916	0.67681694	0.076668136	0.017733948	0.0072288495	0.027740132
v	5.173708e-05	0.017712321	0.909955	0.06672211	0.001515779	0.0005830288	0.00022146822	0.0032385534
v	0.00032328017	0.00049690675	0.18904835	0.77380717	0.01962876	0.010995929	0.004780057	0.000919602
r	0.022194395	0.0006803185	0.003133631	0.8774216	0.030542275	0.036430944	0.029134251	0.00046252945
i	0.03306052	0.007546106	0.00081694033	0.54177797	0.28247344	0.10491953	0.029193286	0.00021220245
n	2.5462388e-05	0.00025311374	0.00024050873	0.072955914	0.77830327	0.12548581	0.015794586	0.0069414047
a	0.00161914	0.00028885787	0.00061954645	0.22552049	0.56154937	0.18901579	0.021353915	3.2906355e-05
r	1.3976367e-05	0.0010085356	0.0023423808	0.03789869	0.7522832	0.1966114	0.008753059	0.0010887432
t	0.010717227	0.0022622396	0.0010063434	0.050296422	0.48993585	0.39626902	0.049306013	0.00020688494
i	0.03426765	0.018662935	0.0048845904	0.11273947	0.3023292	0.4980242	0.0289333	0.00015859009
s	1.1594033e-05	0.0001639556	9.515374e-05	0.003095597	0.3076592	0.5020557	0.17954178	0.007377014
e	0.005109543	0.0015266305	0.0015184253	0.043321	0.29703397	0.52907705	0.12213848	0.00027490238
m	1.8073573e-05	0.0004973016	0.0005690672	0.0019670066	0.15180728	0.48498574	0.35505468	0.0051009087
è	0.004406432	0.00033310681	0.0012072449	0.021228716	0.068513215	0.40225273	0.5015425	0.0005161021
n	5.8866244e-05	0.00024310469	0.006064926	0.035031423	0.01640548	0.14535612	0.5753284	0.22151175
a	0.0044352594	0.0057775294	0.052072205	0.013850072	0.030062329	0.14137222	0.4927989	0.25963154
</S>	0.0003387714	0.00077179825	0.0020773471	0.0006303257	0.01265253	0.058637902	0.7109065	0.2139848
