 	non	mangiare	la	sera	</S>
m	0.9862489	0.011307635	0.0011230542	0.0013176044	2.852249e-06
i	0.46213832	0.43982422	0.03870123	0.059330817	5.3777057e-06
f	0.13159755	0.8075905	0.01186372	0.048239503	0.00070870836
a	0.085184686	0.55527157	0.03280149	0.32670546	3.682335e-05
i	0.017380275	0.86199504	0.065245226	0.05222675	0.0031526661
o	0.0034490465	0.7606295	0.12574342	0.109742835	0.00043523757
v	0.0037018682	0.34460038	0.26701713	0.38391474	0.00076589064
r	0.102227144	0.2564692	0.36853948	0.27244356	0.0003206224
à	0.011169168	0.120618165	0.45814884	0.40972155	0.00034231538
i	0.09146881	0.40057543	0.34974784	0.09459789	0.06360998
</S>	0.000456471	0.022054674	0.8770218	0.09955944	0.00090773386
