 	che	non	li	aspettiamo	</S>
n	0.994766	0.004738972	0.00049431867	6.19008e-07	1.7745909e-07
a	0.9714569	0.013022173	0.015495688	1.3854544e-05	1.1361353e-05
m	0.19053267	0.51761365	0.1269553	0.06982173	0.09507669
i	0.36745015	0.035020646	0.5975036	1.7579023e-05	8.0123455e-06
t	0.057910573	0.13167778	0.8016066	0.004883512	0.0039214967
u	0.24816132	0.009454938	0.7422802	7.121222e-05	3.230814e-05
s	0.00975299	0.0517345	0.8935051	0.029975839	0.01503156
m	0.072789244	0.0038518254	0.9232949	4.065689e-05	2.3401879e-05
ì	0.07284257	0.011109522	0.9159716	6.780643e-05	8.5376905e-06
n	0.0056653824	0.015249793	0.8295693	0.08611198	0.06340356
o	0.019515587	0.07189273	0.838038	0.03721061	0.03334305
m	3.5701436e-05	0.00051850727	0.0271819	0.9197382	0.052525755
e	0.022055099	0.019655405	0.95776993	0.00047361868	4.5916626e-05
</S>	3.917727e-05	0.00015838313	0.014454544	0.921392	0.06395587
