 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
m	0.83384615	0.16023485	0.004627983	0.0007153568	0.0002310472	0.00025024533	7.913692e-05	1.1799999e-05	3.516483e-06
ò	0.95624787	0.015375858	0.007779357	0.008728184	0.008521875	0.002510569	0.0007976909	3.8576847e-05	1.4348566e-07
t	0.98738354	0.0057271486	0.0058761295	0.00044346784	0.0002181718	0.00013362292	4.8318827e-05	5.3946438e-05	0.00011561221
t	0.8915716	0.016580801	0.07958549	0.008899796	0.0023418237	0.0006515394	0.00029180915	2.2914488e-05	5.425543e-05
i	0.3159665	0.12544903	0.14467297	0.16066535	0.21859074	0.028756417	0.005024028	0.0008469667	2.7989792e-05
è	0.03017291	0.73888963	0.21245609	0.01601362	0.0015746765	0.00044244927	0.00011097759	0.00018887343	0.00015075688
t	0.046456873	0.3883148	0.54922014	0.007190908	0.0017551752	0.0027082071	0.00076767855	0.00018976946	0.0033964335
t	0.0061393166	0.29510668	0.6175213	0.05527288	0.021006025	0.0031658995	0.0008017429	0.00049317605	0.0004929733
a	0.01773301	0.06420153	0.5115276	0.15907817	0.16456811	0.064049736	0.012086648	0.006727957	2.7245354e-05
s	0.00014800252	0.17710754	0.74144423	0.072608024	0.007192185	0.00084265426	0.00032132928	0.00023131527	0.000104856656
e	0.0014027831	0.040285233	0.8728135	0.062261835	0.013194331	0.0043593524	0.0020084477	0.003667667	6.8370414e-06
o	4.592729e-05	0.11183922	0.7117009	0.16560195	0.009379613	0.0009358812	0.0002211231	0.00013628429	0.00013917852
G	3.205097e-05	0.05838169	0.64859885	0.27442458	0.013559004	0.0038125303	0.0008212596	5.566722e-05	0.00031428848
i	0.0005976698	0.054808304	0.74848694	0.1780038	0.015340665	0.0018568429	0.0005659218	0.0003385938	1.1828632e-06
o	3.5146935e-05	0.011287174	0.5263576	0.44062242	0.017360047	0.002948178	0.0010110104	0.00035068239	2.769327e-05
v	9.264205e-06	0.007932204	0.14009386	0.79284	0.054974932	0.0031499302	0.0007422016	0.0001230394	0.00013453621
à	0.0031945999	0.0015294623	0.20081888	0.70456725	0.08697486	0.0020425247	0.00045026484	0.00038775522	3.4340745e-05
n	0.00012883206	0.012739759	0.18326062	0.7814583	0.013490726	0.0053353524	0.00062413036	0.0010217386	0.0019405112
n	0.0008494482	0.0016041404	0.32923838	0.6350607	0.027660832	0.0034037048	0.00036446302	0.00047636885	0.0013420043
i	0.009345193	0.02098712	0.09597893	0.5117346	0.28832492	0.051008113	0.004948935	0.014332554	0.003339722
e	2.6616677e-05	0.0013845908	0.0021360347	0.4099064	0.5349048	0.037278965	0.009857747	0.0034141862	0.0010907312
A	6.412656e-06	0.0001492829	0.00043035136	0.20971362	0.758332	0.027481249	0.0034868717	0.00023197764	0.00016826062
n	2.422459e-05	0.006251526	0.011429484	0.29961932	0.4977499	0.17402753	0.0039565614	0.0013577656	0.005583744
n	0.00097533374	0.004060931	0.009663801	0.16897382	0.7047428	0.0954297	0.0037143002	0.009994344	0.0024450163
a	0.0038421734	0.010365631	0.015509571	0.07564967	0.33417472	0.3974354	0.031422507	0.1309341	0.00066624867
ì	2.3145e-05	0.000687841	0.0002460608	0.019543948	0.6088668	0.2554884	0.09219308	0.016803512	0.0061472515
s	2.4732133e-06	0.00023934156	0.0004243248	0.01733836	0.37557316	0.5834061	0.017774181	0.00093432283	0.0043077846
t	0.0011031257	0.0026218519	0.0044042417	0.020881936	0.35516715	0.54471815	0.03476941	0.032608744	0.0037253974
i	0.0014055097	0.0028722696	0.0037518987	0.008925459	0.106330864	0.71004736	0.0667126	0.099751905	0.00020219301
g	2.1089723e-05	0.00048120716	0.00011877263	0.0036756273	0.17795086	0.32150358	0.44644737	0.039614372	0.0101870885
g	0.007655836	0.0023601083	0.006666811	0.0052362643	0.02897295	0.36079112	0.39804375	0.19024253	3.059936e-05
h	0.0034911544	0.00066908303	0.0034282426	0.004926816	0.031952407	0.48497996	0.33340925	0.13713527	7.9144975e-06
e	0.0043938756	0.000788825	0.003979698	0.005417357	0.037377052	0.5723529	0.22376007	0.15189767	3.2604963e-05
c	1.13975575e-05	8.754572e-05	7.179919e-05	0.0013748788	0.039239764	0.45073837	0.44490844	0.056936163	0.006631721
è	0.0025866409	0.00083530403	0.004634424	0.007308383	0.04595152	0.37293625	0.22686222	0.3388655	1.9699455e-05
p	2.9377818e-06	4.6348156e-05	0.00013725893	0.0028834804	0.038342476	0.7192667	0.219625	0.014759049	0.004936694
l	0.006776784	0.00410226	0.0131132305	0.015330846	0.06507155	0.35652137	0.2635119	0.2545056	0.021066481
o	0.010979321	0.019764397	0.015905952	0.036112763	0.08957647	0.34118	0.17804185	0.3002215	0.008217733
n	1.7367269e-05	0.00016946951	5.999887e-05	0.00084945286	0.005310352	0.023267107	0.4874768	0.34237	0.14047943
n	0.0018789882	0.0024370658	0.0021908768	0.0027255865	0.0029485237	0.0125304535	0.19048198	0.7846827	0.00012381718
e	0.008436491	0.006457382	0.009030806	0.012853064	0.021760747	0.05403488	0.4578821	0.42945674	8.791867e-05
</S>	4.795321e-05	0.00026077713	8.579014e-05	0.0013091638	0.0070111854	0.012890706	0.3603569	0.48083544	0.13720208
