 	vuole	andare	a	Lecce	</S>
i	0.9762824	0.023450928	0.00011447057	0.00015147614	6.023316e-07
t	0.691581	0.29221925	0.007444416	0.0040273983	0.00472782
è	0.69850415	0.19485234	0.0023182114	0.10428023	4.5033827e-05
l	0.9450614	0.037749838	0.0041874377	0.0013551438	0.011646146
i	0.8975368	0.090400234	0.0031129688	0.0076985424	0.0012513336
n	0.0043740845	0.97011954	0.01818807	0.0038013165	0.0035169106
a	0.0029300954	0.5958704	0.21727368	0.18384817	7.763902e-05
p	0.0002553771	0.87365955	0.11543976	0.008869028	0.0017762728
à	0.005902501	0.06883663	0.15940987	0.7656601	0.00019081654
i	0.024911998	0.10096073	0.67496043	0.13712329	0.062043495
L	0.00012665872	0.017727032	0.88942176	0.07717418	0.015550262
u	0.0026302787	0.004974588	0.045341615	0.946685	0.0003685024
p	1.23640275e-05	0.001820371	0.01471178	0.9645912	0.01886425
p	0.0016242515	0.0030318112	0.010040434	0.9850546	0.00024880687
ì	0.008976661	0.012912691	0.030083781	0.9479807	4.622301e-05
u	0.002926613	0.013013043	0.04280966	0.77381164	0.16743906
n	7.921611e-05	0.00091231946	0.004832774	0.8506742	0.14350152
a	0.008820706	0.015755517	0.0060269535	0.96719944	0.0021973378
</S>	5.255488e-05	0.0025505344	0.0018912622	0.38146228	0.6140434
