 	entrò	da	qui	</S>
m	0.8951672	0.027919251	0.060396522	0.016517052
b	0.99234617	0.0007225089	0.004296621	0.0026345586
ì	0.84378344	0.108879	0.025523007	0.021814521
k	0.7316018	0.252759	0.0075537395	0.008085499
e	0.8649526	0.104254596	0.02649316	0.0042995806
a	0.37868375	0.5175772	0.066013634	0.03772545
p	0.024370043	0.87199414	0.095219046	0.008416848
ò	0.008252346	0.1741723	0.77580607	0.041769307
t	0.09410778	0.12585127	0.63336945	0.14667149
t	0.014713921	0.3448707	0.5158481	0.12456728
u	0.008307239	0.1491173	0.19851695	0.64405847
</S>	0.008165731	0.024417462	0.4998946	0.4675223
