 	è	che	è	entrato	da	qui	</S>
è	0.9930432	0.0027292974	0.00052153174	0.0002107005	0.0002894591	0.0026863148	0.00051951234
n	0.6459447	0.2646834	0.008735061	0.068286724	0.004692677	0.0013542732	0.006303297
a	0.22543463	0.7419295	0.02085735	0.0059584077	0.0021979655	0.0020486587	0.0015735364
m	0.33442357	0.39738575	0.22979401	0.038107328	0.00012396525	0.00012371664	4.1652496e-05
b	0.019310184	0.4928407	0.14503953	0.3366183	0.0044263056	0.0010556921	0.0007093407
ì	0.01114665	0.042890444	0.08986237	0.8468376	0.0063430555	0.000952566	0.001967353
k	0.19135666	0.1099359	0.2567862	0.42757934	0.011772005	0.0008067433	0.0017631392
e	0.013440234	0.045233075	0.22169374	0.71185493	0.0060604564	0.0011030025	0.00061466993
a	0.13362622	0.13091096	0.13673143	0.19226621	0.39812303	0.0023605088	0.0059816316
p	0.009272905	0.010976942	0.012156829	0.05840988	0.89953816	0.007078753	0.002566488
ò	0.0019708243	0.013782694	0.01622642	0.16775726	0.6435848	0.116347	0.04033104
t	0.04928823	0.055352148	0.049440913	0.04968219	0.5111863	0.25255853	0.03249172
t	0.0026195333	0.022112565	0.021696154	0.07338399	0.7749787	0.08666052	0.018548662
u	0.0066990396	0.009978566	0.009336102	0.0152491145	0.50099313	0.19948025	0.25826383
</S>	0.005970334	0.006960003	0.0056783655	0.0141881425	0.22071263	0.36086982	0.38562065
