 	sta	e	dorme	nel	letto	</S>
s	0.97967637	0.016453598	0.00091286347	0.0006602984	0.0013643341	0.00093252346
t	0.9592688	0.0025337148	0.003139483	0.009065309	0.01992511	0.0060676006
e	0.9390329	0.02683016	0.0039622136	0.010908971	0.0039059224	0.015359896
c	0.7921547	0.20715007	0.00033854003	0.00014007925	0.00013261438	8.400488e-05
e	0.23721093	0.5716276	0.18882418	0.00058976	0.0007533153	0.0009942448
p	0.13853589	0.3487518	0.50063074	0.00547933	0.0060325395	0.00056971645
l	0.060039867	0.23522153	0.69368345	0.0038725678	0.0045067654	0.0026758127
ò	0.22019418	0.078328796	0.50289446	0.099240884	0.013746229	0.08559546
n	0.045308724	0.13766894	0.7646054	0.047139123	0.003755291	0.0015225422
n	0.08566827	0.10293878	0.74560827	0.056564	0.0075047202	0.0017159923
i	0.025848044	0.10291071	0.18461502	0.5333522	0.13375187	0.019522132
s	0.019393126	0.019378724	0.03078953	0.8866727	0.025557958	0.018207986
t	0.006827255	0.006522977	0.022283157	0.73661643	0.21919166	0.008558552
o	0.007741696	0.025746081	0.034691352	0.5973796	0.32008085	0.014360421
g	0.015423184	0.010070847	0.011465637	0.7296463	0.107820936	0.1255731
r	0.0020375722	0.006330582	0.008560384	0.4133473	0.3080911	0.26163316
à	0.0036518977	0.002978867	0.0037450262	0.2392813	0.639121	0.111221895
t	0.02368533	0.052976303	0.06022011	0.3669583	0.4092329	0.08692702
t	0.004195384	0.012356866	0.014009163	0.10644158	0.79371667	0.06928036
i	0.0036644922	0.015346736	0.017575007	0.08649183	0.77041596	0.106506005
</S>	0.012377417	0.011759722	0.012991172	0.118458614	0.15787993	0.6865331
