 	l	ho	sentito	che	viene	</S>
o	0.9916679	0.0026566477	7.448031e-05	0.0009450043	0.0035284273	0.0011275037
n	0.8552171	0.03829103	0.09697727	0.0044569923	0.0019642932	0.0030933924
ì	0.44472605	0.35526136	0.10701812	0.030627456	0.050716452	0.0116505865
k	0.13805902	0.74629307	0.097398944	0.0127756195	0.004830224	0.0006431
u	0.053978983	0.66535074	0.2706142	0.007174827	0.0025785312	0.00030264346
s	0.14598188	0.34220868	0.39596114	0.11079538	0.003916598	0.0011363674
a	0.012045995	0.03574175	0.63180286	0.27416646	0.044840727	0.0014022647
n	0.054759704	0.06867368	0.07407085	0.7572158	0.040379208	0.004900742
a	0.0014352724	0.0038138442	0.045495316	0.7706654	0.17544006	0.0031500228
r	0.04502475	0.050359435	0.048733715	0.47081348	0.33386564	0.05120289
t	0.00086110516	0.0017669902	0.011091636	0.2177343	0.75387275	0.014673182
i	0.0023282354	0.0027755888	0.009770222	0.16603938	0.8043202	0.014766398
</S>	0.05206492	0.055248287	0.054976318	0.13872623	0.2546995	0.44428477
