 	è	che	sono	usciti	</S>
è	0.9833067	0.008533959	0.0025349776	0.0043992614	0.0012251566
n	0.72026086	0.16125442	0.04299044	0.042122416	0.033371806
a	0.42125723	0.5459761	0.013976799	0.018093295	0.0006966474
g	0.14302073	0.32349503	0.031379744	0.4999472	0.0021573342
u	0.011220551	0.687409	0.19115911	0.10296718	0.0072441143
ì	0.007278199	0.059035175	0.5062062	0.40651911	0.020961242
k	0.053801794	0.073747486	0.27645075	0.59061235	0.0053876373
a	0.048774518	0.39298815	0.3758251	0.17612873	0.0062834877
n	0.15886423	0.07586923	0.11656306	0.5379231	0.11078038
e	0.0018636662	0.06091251	0.7164171	0.17872395	0.042082753
</S>	0.08348504	0.105862066	0.12784903	0.22216009	0.46064374
