 	ora	ho	finito	di	scrivere	</S>
à	0.9286446	0.019410076	0.033016242	0.0060161646	0.008872025	0.0040408517
r	0.9883812	0.0030264426	0.0015291538	0.002310819	0.0010147856	0.0037376073
t	0.9878633	0.004381525	0.0041045705	0.0017317181	0.0016914374	0.00022750742
e	0.89233136	0.057646852	0.022065617	0.012773544	0.010460574	0.004722069
s	0.14709635	0.8431533	0.008247161	0.0010225975	0.000280807	0.00019967611
p	0.36816987	0.40851277	0.17695859	0.02087708	0.014783631	0.010698064
ì	0.11329627	0.6494966	0.21670711	0.013483823	0.0024206336	0.004595569
c	0.009572409	0.7661883	0.219852	0.0036313403	0.00030233344	0.0004536572
c	0.015126816	0.20537078	0.7611798	0.016369483	0.0018289144	0.0001242507
e	0.10237593	0.2845337	0.5084089	0.07821804	0.010279357	0.016184041
t	0.055020273	0.15579608	0.21963462	0.5500696	0.012491457	0.006987963
s	0.09307854	0.155881	0.5310819	0.19977105	0.016450208	0.0037372638
a	0.18819223	0.094121605	0.09760372	0.5011586	0.07900628	0.03991752
t	0.004478658	0.014666663	0.03973054	0.789422	0.12209751	0.029604558
s	0.0031731895	0.004259256	0.08970767	0.77444905	0.110355034	0.018055778
e	0.030270338	0.025052559	0.074288405	0.56579435	0.24776196	0.056832362
g	0.0019815776	0.005959673	0.018050589	0.33331466	0.27647266	0.36422086
r	0.0009288169	0.00077711797	0.008411826	0.3732868	0.45288688	0.16370857
à	0.0026437684	0.002979996	0.021265259	0.1638562	0.7160508	0.09320394
t	0.011410854	0.016891722	0.027657794	0.27834967	0.6042546	0.061435405
s	0.007531312	0.0058325785	0.0157151	0.098081805	0.77078134	0.1020579
i	0.004846998	0.0033203834	0.009790476	0.13329355	0.62540513	0.22334342
</S>	0.0030456227	0.0049839457	0.007828325	0.043973114	0.26220146	0.67796755
