 	vuole	pianto	</S>
e	0.98295885	0.011253756	0.005787462
t	0.9766975	9.0563066e-05	0.023211867
è	0.84356344	0.0031259523	0.15331063
l	0.53074425	0.09543915	0.37381658
i	0.8377792	0.0076418165	0.15457892
k	0.040789742	0.37529415	0.58391607
l	0.25021216	0.03644149	0.71334636
a	0.079225495	0.28964785	0.63112664
m	0.056243204	0.4489008	0.49485594
m	0.07367613	0.083187595	0.84313625
è	0.07671243	0.14066806	0.7826196
n	0.0843915	0.60734934	0.30825916
o	0.47859803	0.15688632	0.36451566
</S>	0.08971237	0.34109166	0.569196
