 	hai	già	mangiato	</S>
ì	0.9901215	0.0009747314	0.0074317483	0.0014720329
s	0.8345957	0.13126636	0.012968236	0.02116972
e	0.8446923	0.14533098	0.007969329	0.00200736
g	0.06430878	0.21091501	0.7164593	0.008316963
i	0.05096307	0.8261336	0.11163208	0.011271228
à	0.022969859	0.4641122	0.4871363	0.025781572
f	0.027066572	0.07521264	0.87832564	0.019395161
a	0.1240607	0.3334005	0.4139071	0.12863171
m	0.14516822	0.13655044	0.3645377	0.35374364
è	0.0065893545	0.24850301	0.30561545	0.4392922
n	0.1106691	0.117106736	0.5502311	0.22199304
a	0.023509616	0.1972942	0.45393854	0.3252576
</S>	0.07931779	0.14554101	0.119654946	0.6554863
