 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9895808	0.002217286	0.0015007115	0.0034073773	0.0010617229	0.0016350357	0.00059716444
c	0.9975077	0.0017411922	0.00018516404	7.2770024e-05	0.00017179296	0.00014012684	0.00018122281
h	0.6337338	0.31391776	0.030486867	0.002266598	0.012924442	0.006188535	0.00048198312
a	0.17550601	0.7340958	0.05685266	0.0032598653	0.021324927	0.006487724	0.0024730077
n	0.5465081	0.42981264	0.003823655	0.0027416789	0.008464942	0.007322992	0.0013260624
a	0.15082122	0.7768788	0.06438411	0.0010180228	0.0037306575	0.0010257416	0.0021415683
a	0.034990292	0.84870404	0.10831177	0.0020883682	0.0035436568	0.0019479501	0.00041377422
g	0.034335244	0.7083161	0.18269381	0.024558337	0.032093946	0.016776284	0.001226322
o	0.24145254	0.03944826	0.31113496	0.30494	0.05030452	0.041492693	0.011226944
r	0.12449821	0.09857437	0.6736772	0.058780707	0.023095978	0.019284941	0.0020886043
à	0.04662286	0.043756876	0.51782334	0.1532148	0.072333366	0.05773508	0.10851368
s	0.017385457	0.17009744	0.74951863	0.018153492	0.028051544	0.013518051	0.0032752678
o	0.031941447	0.13071907	0.754927	0.068640895	0.007285884	0.0022778497	0.0042079366
o	0.04319084	0.10478312	0.6921112	0.0732735	0.05536674	0.01893677	0.012337768
s	0.0062736687	0.035596658	0.5763689	0.22580233	0.116801746	0.030722663	0.008433944
s	0.011302803	0.019568317	0.16949324	0.74144405	0.028101644	0.015067193	0.015022792
o	0.007332095	0.0076982975	0.03204382	0.749557	0.09166686	0.04928966	0.062412333
m	0.012665136	0.01073468	0.04483924	0.05353182	0.3361846	0.28262275	0.25942186
ì	0.0030259544	0.0046699634	0.017358936	0.738269	0.1334497	0.042516828	0.060709603
k	0.010168304	0.03240939	0.04784468	0.03397556	0.4079211	0.34170073	0.12598021
a	0.00927817	0.01773591	0.032712672	0.40056273	0.23602241	0.17626476	0.12742336
m	0.01108541	0.016354349	0.017150892	0.013124974	0.18245398	0.2830194	0.47681108
è	0.0016935419	0.0018669119	0.005285794	0.14010665	0.37021685	0.38781404	0.09301624
r	0.007557567	0.042349104	0.037097566	0.025192598	0.2133601	0.6014163	0.07302678
i	0.008414393	0.012234775	0.013951824	0.07545416	0.1835636	0.5658809	0.14050041
</S>	0.011789601	0.01446887	0.014043293	0.012622242	0.035088502	0.15147124	0.7605162
