 	forse	stanno	ancora	svegli	</S>
f	0.95919234	0.0062174303	0.002973344	0.029873151	0.001743842
ò	0.9310405	0.032022465	0.008331864	0.011099547	0.017505733
r	0.9880172	0.011029441	0.00030923967	0.0004852447	0.00015877676
s	0.8730663	0.12238544	0.0026557338	0.001551889	0.00034051243
i	0.618043	0.3561472	0.0128332395	0.009599144	0.0033773957
s	0.043841973	0.9536236	0.0017883588	0.0002535767	0.000492448
t	0.3734979	0.58996236	0.025410278	0.008589593	0.002539872
è	0.72567296	0.19844213	0.053158537	0.014473064	0.008253368
o	0.00991852	0.97967327	0.008226683	0.0004479064	0.0017336743
n	0.005510291	0.902658	0.089772485	0.000912676	0.0011466807
e	0.07926858	0.698501	0.1935066	0.009784133	0.018939707
a	0.0022755936	0.13423759	0.8564381	0.0038057251	0.0032430904
n	0.01340374	0.5151278	0.4204976	0.045741472	0.0052294726
k	0.15337457	0.47618303	0.16737573	0.033911016	0.16915566
ò	0.06769344	0.36086857	0.26888853	0.080023676	0.22252578
r	0.0052327006	0.15571782	0.42940584	0.31692466	0.09271898
a	0.034484103	0.18002234	0.41357195	0.30874878	0.06317282
a	0.017762737	0.06530132	0.77950394	0.048480082	0.08895196
t	0.003222119	0.12889482	0.113119245	0.7236468	0.031116998
s	0.07435022	0.19691408	0.10031768	0.39387116	0.23454684
ù	0.011361006	0.040399004	0.05437736	0.64521664	0.24864598
n	0.0010467818	0.020621898	0.07121001	0.7409506	0.16617075
n	0.050518624	0.09265966	0.10068053	0.37322804	0.3829132
i	0.0030601043	0.01639392	0.09491134	0.42007083	0.46556386
t	0.0006311323	0.008093314	0.074045375	0.7043574	0.21287277
i	0.0037810584	0.063807584	0.06970082	0.39070433	0.47200623
</S>	0.00033814774	0.0070683663	0.036278073	0.21267287	0.7436425
