 	il	lenzuolo	vuole	lavato	</S>
o	0.9690801	0.0070276284	0.010595354	0.008900134	0.0043968363
p	0.9930177	0.0063481918	0.0003482329	8.1377046e-05	0.00020455066
l	0.6061494	0.35461578	0.03572604	0.0005856236	0.0029231324
a	0.16999711	0.77861094	0.04455435	0.0015928333	0.0052447533
ù	0.37788227	0.6082449	0.013011125	0.00037810748	0.00048365592
n	0.06254675	0.9070749	0.027346447	0.00097289775	0.0020590648
a	0.08750986	0.8536981	0.05467699	0.0025505752	0.0015646378
t	0.3158807	0.36719424	0.2301752	0.056946628	0.02980329
è	0.030477732	0.2720049	0.5597186	0.094434895	0.04336382
l	0.024118764	0.11906661	0.69781655	0.14984082	0.0091571985
i	0.024408264	0.12008039	0.68774146	0.114498846	0.053271003
p	0.015909271	0.017253283	0.03115963	0.80189955	0.13377826
l	0.003927862	0.022520762	0.25927085	0.59593195	0.118348636
i	0.010316221	0.021068277	0.13050975	0.63836277	0.19974302
m	0.012557519	0.0136616705	0.0076999096	0.7350137	0.23106715
è	0.0034130865	0.0133106215	0.03817189	0.7884342	0.15667024
n	0.030607136	0.0797955	0.11060568	0.6321122	0.1468795
o	0.017983656	0.05350612	0.10957255	0.62237746	0.1965602
</S>	0.017189626	0.01843854	0.011121276	0.26889673	0.6843538
