 	che	non	li	aspettiamo	</S>
n	0.93432885	0.05853764	0.006127393	0.0003715162	0.0006344864
a	0.9180272	0.0007716451	0.0716695	0.0020695373	0.00746196
m	0.6674799	0.29867357	0.03235728	0.0004833502	0.0010058959
i	0.4638076	0.18793671	0.2819432	0.004701476	0.061611064
t	0.124802396	0.021483133	0.8239803	0.018191986	0.011542291
u	0.21388653	0.116873965	0.13727963	0.01337766	0.5185822
s	0.19177462	0.13762231	0.5663316	0.069691464	0.034579944
m	0.19065315	0.15061723	0.1718526	0.030514186	0.45636284
ì	0.035349954	0.017980492	0.85960275	0.055812098	0.031254627
n	0.0056542004	0.004573661	0.8893271	0.061991997	0.03845299
o	0.08524976	0.13274384	0.50358963	0.11994374	0.158473
m	0.022207955	0.10056984	0.14918746	0.62639326	0.1016415
e	0.010294222	0.008129732	0.62061363	0.10068753	0.26027486
</S>	0.018439734	0.043653946	0.03838224	0.12892073	0.77060336
