 	ho	cosa	a	fare	</S>
è	0.99387795	0.0039666193	0.0012238146	0.0006723237	0.0002593755
c	0.7553584	0.09334514	0.042086143	0.041232456	0.067977846
h	0.2248384	0.7324654	0.0395504	0.0029396599	0.00020605243
o	0.1857067	0.65422547	0.08798175	0.06180272	0.010283311
t	0.083038464	0.49862835	0.3133694	0.08547287	0.019490896
i	0.0025898912	0.05336281	0.7590403	0.1405244	0.0444826
k	0.008384854	0.018438881	0.18391101	0.73054457	0.058720667
à	0.018130766	0.038076263	0.4552752	0.24975838	0.23875935
i	0.08307581	0.079471804	0.18984321	0.57903665	0.06857257
</S>	0.003429872	0.0056945607	0.09586395	0.69202775	0.20298393
