 	il	morto	vuole	pianto	</S>
o	0.9690206	0.008736794	0.015418975	0.0014040234	0.005419529
p	0.9004384	0.099269845	0.00014498582	6.300386e-05	8.3731975e-05
e	0.26682854	0.72922087	0.0029793603	0.000226455	0.0007447854
s	0.8247107	0.17320856	0.0014151889	0.00042887166	0.00023664223
a	0.18469681	0.73785	0.026764091	0.00070803403	0.049980927
m	0.35569257	0.6380213	0.005040381	0.00057719403	0.00066860026
m	0.09808231	0.783148	0.060208067	0.002199345	0.056362443
è	0.2333285	0.28951773	0.33865735	0.010400281	0.1280961
n	0.08407498	0.48244843	0.42482382	0.0011125436	0.0075401654
o	0.23850708	0.5158001	0.23655912	0.0012182323	0.0079155
t	0.07719223	0.3053124	0.5465235	0.055854537	0.0151173035
è	0.006692328	0.14793336	0.81995344	0.007639505	0.017781418
l	0.00982413	0.07670444	0.8898419	0.019758334	0.0038711566
i	0.015474454	0.080235556	0.8245849	0.028387493	0.0513176
g	0.015037486	0.052626014	0.1519982	0.65658814	0.123750106
l	0.0014957694	0.11502749	0.6451909	0.1508505	0.08743534
a	0.008610223	0.19754398	0.32523012	0.26730135	0.20131436
m	0.011683369	0.082533434	0.05247653	0.64663255	0.20667413
m	0.007941753	0.10212749	0.1975549	0.26194745	0.43042836
è	0.012246667	0.1828363	0.047814764	0.2967205	0.46038178
n	0.03446373	0.2607284	0.39607197	0.13264856	0.17608738
o	0.053545278	0.15187684	0.34960797	0.21234211	0.23262772
</S>	0.01750742	0.04176719	0.027853813	0.29072982	0.6221417
