 	il	dito	si	gonfiò	</S>
o	0.927637	0.040540792	0.0063375793	0.01789255	0.0075920583
d	0.98662925	0.005197371	0.00061881647	0.0062398138	0.0013147104
à	0.68872595	0.27434927	0.0034501615	0.03098755	0.0024870473
t	0.32843506	0.6347229	0.0074311537	0.02178002	0.007630888
t	0.24246071	0.7445434	0.0022677078	0.009788606	0.00093958154
i	0.03437887	0.70356447	0.032144487	0.22072373	0.009188447
l	0.09565139	0.5817898	0.10753923	0.18123442	0.033785194
o	0.040167812	0.46036342	0.045008816	0.41380525	0.040654663
è	0.08473358	0.08202843	0.7268268	0.053155385	0.053255856
p	0.007422932	0.06530388	0.05396474	0.8663721	0.0069363783
r	0.029281048	0.082827285	0.26472598	0.5703371	0.0528286
i	0.022007097	0.07353185	0.17445113	0.5824432	0.14756669
m	0.018551124	0.01589875	0.10029285	0.27396703	0.5912903
m	0.0034294822	0.009183023	0.080860734	0.8104767	0.096050054
è	0.005086775	0.011023434	0.08105207	0.5813018	0.32153592
n	0.041747365	0.088424906	0.13810833	0.22489244	0.50682694
o	0.012982802	0.027954364	0.106307134	0.43911934	0.41363636
</S>	0.01812481	0.018316753	0.026845878	0.040354643	0.89635795
